scenario,param,rte_dmap_p2p,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.68,1.68,-0.15,0.15,-8.9,False,0.129,0.129,-0.022,0.022,-17.1,False
nav_a_omni,0.50m,1.39,1.39,-0.10,0.10,-7.2,False,0.076,0.076,-0.010,0.010,-13.2,False
loop,0.50m,3.34,3.34,-0.72,0.72,-21.6,False,0.222,0.222,-0.072,0.072,-32.4,False
slippage,0.50m,1.30,1.30,+0.28,0.28,+21.5,False,0.155,0.155,-0.001,0.001,-0.6,True
nav_a_diff,1.00m,1.35,1.35,-0.11,0.11,-8.1,False,0.113,0.113,-0.004,0.004,-3.5,True
nav_a_omni,1.00m,1.06,1.06,-0.08,0.08,-7.5,False,0.088,0.088,-0.025,0.025,-28.4,False
loop,1.00m,3.51,3.51,-0.37,0.37,-10.5,False,0.225,0.225,-0.065,0.065,-28.9,False
slippage,1.00m,0.93,0.93,+0.14,0.14,+15.1,False,0.089,0.089,+0.040,0.040,+44.9,False
nav_a_diff,1.50m,1.16,1.16,-0.06,0.06,-5.2,False,0.116,0.116,-0.015,0.015,-12.9,False
nav_a_omni,1.50m,1.05,1.05,-0.13,0.13,-12.4,False,0.078,0.078,-0.002,0.002,-2.6,True
loop,1.50m,3.44,3.44,-0.41,0.41,-11.9,False,0.221,0.221,-0.060,0.060,-27.1,False
slippage,1.50m,1.10,1.10,-0.03,0.03,-2.7,True,0.112,0.112,-0.010,0.010,-8.9,False
nav_a_diff,2.00m,1.20,1.20,-0.13,0.13,-10.8,False,0.104,0.104,-0.017,0.017,-16.3,False
nav_a_omni,2.00m,0.97,0.97,-0.09,0.09,-9.3,False,0.093,0.093,-0.008,0.008,-8.6,False
loop,2.00m,3.55,3.55,-0.97,0.97,-27.3,False,0.219,0.219,-0.069,0.069,-31.5,False
slippage,2.00m,0.58,0.58,+0.29,0.29,+50.0,False,0.071,0.071,+0.043,0.043,+60.6,False
nav_a_diff,2.50m,1.25,1.25,-0.15,0.15,-12.0,False,0.105,0.105,-0.014,0.014,-13.3,False
nav_a_omni,2.50m,0.99,0.99,-0.08,0.08,-8.1,False,0.079,0.079,+0.001,0.001,+1.3,True
loop,2.50m,3.58,3.58,-0.39,0.39,-10.9,False,0.220,0.220,-0.055,0.055,-25.0,False
slippage,2.50m,0.83,0.83,-0.03,0.03,-3.6,True,0.088,0.088,-0.007,0.007,-8.0,False
nav_a_diff,3.00m,1.37,1.37,-0.14,0.14,-10.2,False,0.126,0.126,-0.018,0.018,-14.3,False
nav_a_omni,3.00m,1.33,1.33,-0.06,0.06,-4.5,False,0.124,0.124,-0.011,0.011,-8.9,False
loop,3.00m,4.04,4.04,-1.32,1.32,-32.7,False,0.220,0.220,-0.075,0.075,-34.1,False
slippage,3.00m,0.86,0.86,-0.07,0.07,-8.1,False,0.085,0.085,-0.006,0.006,-7.1,False
nav_a_diff,40%,1.09,1.09,-0.08,0.08,-7.3,False,0.101,0.101,-0.016,0.016,-15.8,False
nav_a_omni,40%,1.08,1.08,-0.04,0.04,-3.7,True,0.108,0.108,-0.020,0.020,-18.5,False
loop,40%,2.81,2.81,-0.52,0.52,-18.5,False,0.177,0.177,-0.042,0.042,-23.7,False
slippage,40%,0.66,0.66,+0.10,0.10,+15.2,False,0.065,0.065,+0.008,0.008,+12.3,False
nav_a_diff,50%,1.11,1.11,-0.13,0.13,-11.7,False,0.108,0.108,-0.023,0.023,-21.3,False
nav_a_omni,50%,0.88,0.88,-0.04,0.04,-4.5,True,0.086,0.086,-0.019,0.019,-22.1,False
loop,50%,3.19,3.19,-0.62,0.62,-19.4,False,0.183,0.183,-0.047,0.047,-25.7,False
slippage,50%,0.74,0.74,-0.03,0.03,-4.1,True,0.086,0.086,+0.005,0.005,+5.8,False
nav_a_diff,60%,1.12,1.12,+0.04,0.04,+3.6,True,0.112,0.112,-0.009,0.009,-8.0,False
nav_a_omni,60%,0.92,0.92,-0.05,0.05,-5.4,False,0.098,0.098,-0.012,0.012,-12.2,False
loop,60%,3.25,3.25,-0.74,0.74,-22.8,False,0.211,0.211,-0.088,0.088,-41.7,False
slippage,60%,0.63,0.63,+0.09,0.09,+14.3,False,0.084,0.084,-0.014,0.014,-16.7,False
nav_a_diff,70%,1.30,1.30,-0.07,0.07,-5.4,False,0.117,0.117,-0.011,0.011,-9.4,False
nav_a_omni,70%,1.01,1.01,+0.03,0.03,+3.0,True,0.084,0.084,-0.007,0.007,-8.3,False
loop,70%,3.35,3.35,-0.62,0.62,-18.5,False,0.207,0.207,-0.050,0.050,-24.2,False
slippage,70%,0.98,0.98,-0.09,0.09,-9.2,False,0.110,0.110,+0.005,0.005,+4.5,False
