scenario,param,rte_dmap_p2p,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,3.01,3.01,-1.48,1.48,-49.2,False,0.188,0.188,-0.081,0.081,-43.1,False
nav_a_omni,0.50m,2.62,2.62,-1.33,1.33,-50.8,False,0.148,0.148,-0.082,0.082,-55.4,False
loop,0.50m,6.03,6.03,-3.41,3.41,-56.6,False,0.325,0.325,-0.175,0.175,-53.8,False
slippage,0.50m,1.05,1.05,+0.53,0.53,+50.5,False,0.070,0.070,+0.084,0.084,+120.0,False
nav_a_diff,1.00m,2.04,2.04,-0.80,0.80,-39.2,False,0.161,0.161,-0.052,0.052,-32.3,False
nav_a_omni,1.00m,1.94,1.94,-0.96,0.96,-49.5,False,0.102,0.102,-0.039,0.039,-38.2,False
loop,1.00m,4.48,4.48,-1.34,1.34,-29.9,False,0.235,0.235,-0.075,0.075,-31.9,False
slippage,1.00m,0.58,0.58,+0.49,0.49,+84.5,False,0.065,0.065,+0.064,0.064,+98.5,False
nav_a_diff,1.50m,1.78,1.78,-0.68,0.68,-38.2,False,0.144,0.144,-0.043,0.043,-29.9,False
nav_a_omni,1.50m,1.59,1.59,-0.67,0.67,-42.1,False,0.090,0.090,-0.014,0.014,-15.6,False
loop,1.50m,2.92,2.92,+0.11,0.11,+3.8,False,0.179,0.179,-0.018,0.018,-10.1,False
slippage,1.50m,0.54,0.54,+0.53,0.53,+98.1,False,0.050,0.050,+0.052,0.052,+104.0,False
nav_a_diff,2.00m,1.50,1.50,-0.43,0.43,-28.7,False,0.130,0.130,-0.043,0.043,-33.1,False
nav_a_omni,2.00m,1.42,1.42,-0.54,0.54,-38.0,False,0.090,0.090,-0.005,0.005,-5.6,True
loop,2.00m,3.20,3.20,-0.62,0.62,-19.4,False,0.199,0.199,-0.049,0.049,-24.6,False
slippage,2.00m,0.52,0.52,+0.35,0.35,+67.3,False,0.038,0.038,+0.076,0.076,+200.0,False
nav_a_diff,2.50m,1.30,1.30,-0.20,0.20,-15.4,False,0.111,0.111,-0.020,0.020,-18.0,False
nav_a_omni,2.50m,1.28,1.28,-0.37,0.37,-28.9,False,0.093,0.093,-0.013,0.013,-14.0,False
loop,2.50m,3.60,3.60,-0.41,0.41,-11.4,False,0.197,0.197,-0.032,0.032,-16.2,False
slippage,2.50m,0.53,0.53,+0.27,0.27,+50.9,False,0.036,0.036,+0.045,0.045,+125.0,False
nav_a_diff,3.00m,1.55,1.55,-0.32,0.32,-20.6,False,0.126,0.126,-0.018,0.018,-14.3,False
nav_a_omni,3.00m,1.41,1.41,-0.14,0.14,-9.9,False,0.119,0.119,-0.006,0.006,-5.0,False
loop,3.00m,4.60,4.60,-1.88,1.88,-40.9,False,0.226,0.226,-0.081,0.081,-35.8,False
slippage,3.00m,0.54,0.54,+0.25,0.25,+46.3,False,0.057,0.057,+0.022,0.022,+38.6,False
nav_a_diff,40%,1.17,1.17,-0.16,0.16,-13.7,False,0.114,0.114,-0.029,0.029,-25.4,False
nav_a_omni,40%,1.16,1.16,-0.12,0.12,-10.3,False,0.088,0.088,+0.000,0.000,+0.0,True
loop,40%,2.58,2.58,-0.29,0.29,-11.2,False,0.154,0.154,-0.019,0.019,-12.3,False
slippage,40%,0.54,0.54,+0.22,0.22,+40.7,False,0.053,0.053,+0.020,0.020,+37.7,False
nav_a_diff,50%,1.38,1.38,-0.40,0.40,-29.0,False,0.110,0.110,-0.025,0.025,-22.7,False
nav_a_omni,50%,1.34,1.34,-0.50,0.50,-37.3,False,0.092,0.092,-0.025,0.025,-27.2,False
loop,50%,2.99,2.99,-0.42,0.42,-14.0,False,0.141,0.141,-0.005,0.005,-3.5,True
slippage,50%,0.57,0.57,+0.14,0.14,+24.6,False,0.051,0.051,+0.040,0.040,+78.4,False
nav_a_diff,60%,1.60,1.60,-0.44,0.44,-27.5,False,0.127,0.127,-0.024,0.024,-18.9,False
nav_a_omni,60%,1.51,1.51,-0.64,0.64,-42.4,False,0.093,0.093,-0.007,0.007,-7.5,False
loop,60%,3.19,3.19,-0.68,0.68,-21.3,False,0.170,0.170,-0.047,0.047,-27.6,False
slippage,60%,0.58,0.58,+0.14,0.14,+24.1,False,0.039,0.039,+0.031,0.031,+79.5,False
nav_a_diff,70%,1.86,1.86,-0.63,0.63,-33.9,False,0.141,0.141,-0.035,0.035,-24.8,False
nav_a_omni,70%,1.65,1.65,-0.61,0.61,-37.0,False,0.091,0.091,-0.014,0.014,-15.4,False
loop,70%,4.43,4.43,-1.70,1.70,-38.4,False,0.217,0.217,-0.060,0.060,-27.6,False
slippage,70%,0.60,0.60,+0.29,0.29,+48.3,False,0.052,0.052,+0.063,0.063,+121.2,False
