scenario,param,rte_dmap_p2p,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.53,1.33,+0.20,0.20,+15.0,False,0.107,0.129,-0.022,0.022,-17.1,False
nav_a_omni,0.50m,1.29,1.09,+0.20,0.20,+18.3,False,0.066,0.102,-0.036,0.036,-35.3,False
loop,0.50m,2.62,4.48,-1.86,1.86,-41.5,False,0.150,0.281,-0.131,0.131,-46.6,False
slippage,0.50m,1.58,0.90,+0.68,0.68,+75.6,False,0.154,0.081,+0.073,0.073,+90.1,False
nav_a_diff,1.00m,1.24,1.21,+0.03,0.03,+2.5,True,0.109,0.120,-0.011,0.011,-9.2,False
nav_a_omni,1.00m,0.98,1.09,-0.11,0.11,-10.1,False,0.063,0.108,-0.045,0.045,-41.7,False
loop,1.00m,3.14,4.18,-1.04,1.04,-24.9,False,0.160,0.254,-0.094,0.094,-37.0,False
slippage,1.00m,1.07,1.19,-0.12,0.12,-10.1,False,0.129,0.136,-0.007,0.007,-5.1,False
nav_a_diff,1.50m,1.10,1.23,-0.13,0.13,-10.6,False,0.101,0.114,-0.013,0.013,-11.4,False
nav_a_omni,1.50m,0.92,1.18,-0.26,0.26,-22.0,False,0.076,0.110,-0.034,0.034,-30.9,False
loop,1.50m,3.03,3.80,-0.77,0.77,-20.3,False,0.161,0.227,-0.066,0.066,-29.1,False
slippage,1.50m,1.07,0.77,+0.30,0.30,+39.0,False,0.102,0.051,+0.051,0.051,+100.0,False
nav_a_diff,2.00m,1.07,1.15,-0.08,0.08,-7.0,False,0.087,0.105,-0.018,0.018,-17.1,False
nav_a_omni,2.00m,0.88,1.07,-0.19,0.19,-17.8,False,0.085,0.105,-0.020,0.020,-19.0,False
loop,2.00m,2.58,3.20,-0.62,0.62,-19.4,False,0.150,0.188,-0.038,0.038,-20.2,False
slippage,2.00m,0.87,0.76,+0.11,0.11,+14.5,False,0.114,0.042,+0.072,0.072,+171.4,False
nav_a_diff,2.50m,1.10,1.18,-0.08,0.08,-6.8,False,0.091,0.103,-0.012,0.012,-11.7,False
nav_a_omni,2.50m,0.91,1.05,-0.14,0.14,-13.3,False,0.080,0.088,-0.008,0.008,-9.1,False
loop,2.50m,3.19,3.48,-0.29,0.29,-8.3,False,0.165,0.188,-0.023,0.023,-12.2,False
slippage,2.50m,0.80,0.70,+0.10,0.10,+14.3,False,0.081,0.045,+0.036,0.036,+80.0,False
nav_a_diff,3.00m,1.23,1.26,-0.03,0.03,-2.4,True,0.108,0.121,-0.013,0.013,-10.7,False
nav_a_omni,3.00m,1.27,0.90,+0.37,0.37,+41.1,False,0.113,0.084,+0.029,0.029,+34.5,False
loop,3.00m,2.72,2.45,+0.27,0.27,+11.0,False,0.145,0.161,-0.016,0.016,-9.9,False
slippage,3.00m,0.79,1.02,-0.23,0.23,-22.5,False,0.079,0.116,-0.037,0.037,-31.9,False
nav_a_diff,40%,1.01,0.98,+0.03,0.03,+3.1,True,0.085,0.086,-0.001,0.001,-1.2,True
nav_a_omni,40%,1.04,0.87,+0.17,0.17,+19.5,False,0.088,0.089,-0.001,0.001,-1.1,True
loop,40%,2.29,1.91,+0.38,0.38,+19.9,False,0.135,0.121,+0.014,0.014,+11.6,False
slippage,40%,0.76,0.67,+0.09,0.09,+13.4,False,0.073,0.065,+0.008,0.008,+12.3,False
nav_a_diff,50%,0.98,1.17,-0.19,0.19,-16.2,False,0.085,0.111,-0.026,0.026,-23.4,False
nav_a_omni,50%,0.84,0.94,-0.10,0.10,-10.6,False,0.067,0.085,-0.018,0.018,-21.2,False
loop,50%,2.57,2.90,-0.33,0.33,-11.4,False,0.136,0.140,-0.004,0.004,-2.9,True
slippage,50%,0.71,0.83,-0.12,0.12,-14.5,False,0.091,0.059,+0.032,0.032,+54.2,False
nav_a_diff,60%,1.16,1.26,-0.10,0.10,-7.9,False,0.103,0.118,-0.015,0.015,-12.7,False
nav_a_omni,60%,0.87,1.10,-0.23,0.23,-20.9,False,0.086,0.096,-0.010,0.010,-10.4,False
