scenario,param,rte_dmap_p2p,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.68,3.14,-1.46,1.46,-46.5,False,0.129,0.147,-0.018,0.018,-12.2,False
nav_a_omni,0.50m,1.39,2.60,-1.21,1.21,-46.5,False,0.076,0.108,-0.032,0.032,-29.6,False
loop,0.50m,3.34,6.91,-3.57,3.57,-51.7,False,0.222,0.338,-0.116,0.116,-34.3,False
slippage,0.50m,1.30,1.38,-0.08,0.08,-5.8,False,0.155,0.104,+0.051,0.051,+49.0,False
nav_a_diff,1.00m,1.35,2.20,-0.85,0.85,-38.6,False,0.113,0.138,-0.025,0.025,-18.1,False
nav_a_omni,1.00m,1.06,1.77,-0.71,0.71,-40.1,False,0.088,0.109,-0.021,0.021,-19.3,False
loop,1.00m,3.51,5.15,-1.64,1.64,-31.8,False,0.225,0.276,-0.051,0.051,-18.5,False
slippage,1.00m,0.93,0.60,+0.33,0.33,+55.0,False,0.089,0.088,+0.001,0.001,+1.1,True
nav_a_diff,1.50m,1.16,1.69,-0.53,0.53,-31.4,False,0.116,0.134,-0.018,0.018,-13.4,False
nav_a_omni,1.50m,1.05,1.46,-0.41,0.41,-28.1,False,0.078,0.112,-0.034,0.034,-30.4,False
loop,1.50m,3.44,3.93,-0.49,0.49,-12.5,False,0.221,0.235,-0.014,0.014,-6.0,False
slippage,1.50m,1.10,0.48,+0.62,0.62,+129.2,False,0.112,0.059,+0.053,0.053,+89.8,False
nav_a_diff,2.00m,1.20,1.62,-0.42,0.42,-25.9,False,0.104,0.125,-0.021,0.021,-16.8,False
nav_a_omni,2.00m,0.97,1.31,-0.34,0.34,-26.0,False,0.093,0.092,+0.001,0.001,+1.1,True
loop,2.00m,3.55,2.75,+0.80,0.80,+29.1,False,0.219,0.180,+0.039,0.039,+21.7,False
slippage,2.00m,0.58,0.45,+0.13,0.13,+28.9,False,0.071,0.054,+0.017,0.017,+31.5,False
nav_a_diff,2.50m,1.25,1.34,-0.09,0.09,-6.7,False,0.105,0.109,-0.004,0.004,-3.7,True
nav_a_omni,2.50m,0.99,1.16,-0.17,0.17,-14.7,False,0.079,0.096,-0.017,0.017,-17.7,False
loop,2.50m,3.58,4.19,-0.61,0.61,-14.6,False,0.220,0.231,-0.011,0.011,-4.8,False
slippage,2.50m,0.83,0.77,+0.06,0.06,+7.8,False,0.088,0.045,+0.043,0.043,+95.6,False
nav_a_diff,3.00m,1.37,1.57,-0.20,0.20,-12.7,False,0.126,0.139,-0.013,0.013,-9.4,False
nav_a_omni,3.00m,1.33,1.37,-0.04,0.04,-2.9,True,0.124,0.102,+0.022,0.022,+21.6,False
loop,3.00m,4.04,3.62,+0.42,0.42,+11.6,False,0.220,0.222,-0.002,0.002,-0.9,True
slippage,3.00m,0.86,0.68,+0.18,0.18,+26.5,False,0.085,0.039,+0.046,0.046,+117.9,False
nav_a_diff,40%,1.09,1.34,-0.25,0.25,-18.7,False,0.101,0.114,-0.013,0.013,-11.4,False
nav_a_omni,40%,1.08,1.19,-0.11,0.11,-9.2,False,0.108,0.106,+0.002,0.002,+1.9,True
loop,40%,2.81,2.89,-0.08,0.08,-2.8,False,0.177,0.176,+0.001,0.001,+0.6,True
slippage,40%,0.66,0.87,-0.21,0.21,-24.1,False,0.065,0.061,+0.004,0.004,+6.6,True
nav_a_diff,50%,1.11,1.45,-0.34,0.34,-23.4,False,0.108,0.132,-0.024,0.024,-18.2,False
