scenario,param,rte_dmap_p2p,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2p,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.68,1.55,+0.13,0.13,+8.4,False,0.129,0.142,-0.013,0.013,-9.2,False
nav_a_omni,0.50m,1.39,1.35,+0.04,0.04,+3.0,True,0.076,0.104,-0.028,0.028,-26.9,False
loop,0.50m,3.34,4.80,-1.46,1.46,-30.4,False,0.222,0.309,-0.087,0.087,-28.2,False
slippage,0.50m,1.30,1.47,-0.17,0.17,-11.6,False,0.155,0.134,+0.021,0.021,+15.7,False
nav_a_diff,1.00m,1.35,1.45,-0.10,0.10,-6.9,False,0.113,0.119,-0.006,0.006,-5.0,False
nav_a_omni,1.00m,1.06,1.29,-0.23,0.23,-17.8,False,0.088,0.096,-0.008,0.008,-8.3,False
loop,1.00m,3.51,3.06,+0.45,0.45,+14.7,False,0.225,0.237,-0.012,0.012,-5.1,False
slippage,1.00m,0.93,1.09,-0.16,0.16,-14.7,False,0.089,0.100,-0.011,0.011,-11.0,False
nav_a_diff,1.50m,1.16,1.38,-0.22,0.22,-15.9,False,0.116,0.141,-0.025,0.025,-17.7,False
nav_a_omni,1.50m,1.05,1.20,-0.15,0.15,-12.5,False,0.078,0.097,-0.019,0.019,-19.6,False
loop,1.50m,3.44,3.44,+0.00,0.00,+0.0,True,0.221,0.246,-0.025,0.025,-10.2,False
slippage,1.50m,1.10,0.83,+0.27,0.27,+32.5,False,0.112,0.115,-0.003,0.003,-2.6,True
nav_a_diff,2.00m,1.20,1.23,-0.03,0.03,-2.4,True,0.104,0.133,-0.029,0.029,-21.8,False
nav_a_omni,2.00m,0.97,1.07,-0.10,0.10,-9.3,False,0.093,0.094,-0.001,0.001,-1.1,True
loop,2.00m,3.55,2.79,+0.76,0.76,+27.2,False,0.219,0.190,+0.029,0.029,+15.3,False
slippage,2.00m,0.58,0.69,-0.11,0.11,-15.9,False,0.071,0.084,-0.013,0.013,-15.5,False
nav_a_diff,2.50m,1.25,1.15,+0.10,0.10,+8.7,False,0.105,0.111,-0.006,0.006,-5.4,False
nav_a_omni,2.50m,0.99,1.01,-0.02,0.02,-2.0,True,0.079,0.108,-0.029,0.029,-26.9,False
loop,2.50m,3.58,3.41,+0.17,0.17,+5.0,False,0.220,0.208,+0.012,0.012,+5.8,False
slippage,2.50m,0.83,0.68,+0.15,0.15,+22.1,False,0.088,0.066,+0.022,0.022,+33.3,False
