scenario,param,rte_dmap_p2pl,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.55,1.55,+0.10,0.10,+6.5,False,0.143,0.143,+0.015,0.015,+10.5,False
nav_a_omni,0.50m,1.37,1.37,-0.02,0.02,-1.5,True,0.105,0.105,-0.002,0.002,-1.9,True
loop,0.50m,4.79,4.79,-0.60,0.60,-12.5,False,0.310,0.310,-0.025,0.025,-8.1,False
slippage,0.50m,1.45,1.45,-0.32,0.32,-22.1,False,0.132,0.132,-0.012,0.012,-9.1,False
nav_a_diff,1.00m,1.45,1.45,-0.12,0.12,-8.3,False,0.119,0.119,-0.005,0.005,-4.2,True
nav_a_omni,1.00m,1.27,1.27,-0.09,0.09,-7.1,False,0.097,0.097,+0.008,0.008,+8.2,False
loop,1.00m,3.06,3.06,+0.74,0.74,+24.2,False,0.236,0.236,+0.000,0.000,+0.0,True
slippage,1.00m,1.09,1.09,-0.35,0.35,-32.1,False,0.100,0.100,-0.007,0.007,-7.0,False
nav_a_diff,1.50m,1.37,1.37,-0.09,0.09,-6.6,False,0.144,0.144,-0.022,0.022,-15.3,False
nav_a_omni,1.50m,1.21,1.21,-0.16,0.16,-13.2,False,0.103,0.103,-0.020,0.020,-19.4,False
loop,1.50m,3.48,3.48,-0.54,0.54,-15.5,False,0.244,0.244,-0.034,0.034,-13.9,False
slippage,1.50m,0.83,0.83,-0.04,0.04,-4.8,True,0.115,0.115,+0.000,0.000,+0.0,True
nav_a_diff,2.00m,1.20,1.20,-0.09,0.09,-7.5,False,0.129,0.129,-0.010,0.010,-7.8,False
nav_a_omni,2.00m,1.13,1.13,-0.26,0.26,-23.0,False,0.097,0.097,-0.027,0.027,-27.8,False
loop,2.00m,2.79,2.79,-0.04,0.04,-1.4,True,0.192,0.192,-0.027,0.027,-14.1,False
slippage,2.00m,0.81,0.81,-0.12,0.12,-14.8,False,0.095,0.095,+0.000,0.000,+0.0,True
nav_a_diff,2.50m,1.16,1.16,-0.11,0.11,-9.5,False,0.113,0.113,-0.022,0.022,-19.5,False
nav_a_omni,2.50m,0.97,0.97,+0.09,0.09,+9.3,False,0.117,0.117,-0.028,0.028,-23.9,False
loop,2.50m,3.27,3.27,-0.35,0.35,-10.7,False,0.206,0.206,-0.022,0.022,-10.7,False
slippage,2.50m,0.68,0.68,+0.08,0.08,+11.8,False,0.066,0.066,+0.033,0.033,+50.0,False
nav_a_diff,3.00m,1.72,1.72,-0.19,0.19,-11.0,False,0.126,0.126,-0.017,0.017,-13.5,False
nav_a_omni,3.00m,1.25,1.25,+0.05,0.05,+4.0,False,0.107,0.107,+0.006,0.006,+5.6,False
loop,3.00m,2.95,2.95,+0.34,0.34,+11.5,False,0.157,0.157,-0.008,0.008,-5.1,False
slippage,3.00m,0.73,0.73,-0.02,0.02,-2.7,True,0.086,0.086,-0.011,0.011,-12.8,False
nav_a_diff,40%,1.13,1.13,-0.07,0.07,-6.2,False,0.104,0.104,-0.014,0.014,-13.5,False
nav_a_omni,40%,1.16,1.16,-0.19,0.19,-16.4,False,0.125,0.125,-0.038,0.038,-30.4,False
loop,40%,1.81,1.81,-0.06,0.06,-3.3,False,0.155,0.155,-0.034,0.034,-21.9,False
slippage,40%,1.01,1.01,-0.22,0.22,-21.8,False,0.119,0.119,-0.041,0.041,-34.5,False
nav_a_diff,50%,1.09,1.09,+0.06,0.06,+5.5,False,0.104,0.104,-0.004,0.004,-3.8,True
nav_a_omni,50%,0.97,0.97,-0.03,0.03,-3.1,True,0.098,0.098,-0.009,0.009,-9.2,False
loop,50%,2.43,2.43,-0.16,0.16,-6.6,False,0.143,0.143,+0.003,0.003,+2.1,True
slippage,50%,1.01,1.01,-0.36,0.36,-35.6,False,0.107,0.107,-0.024,0.024,-22.4,False
nav_a_diff,60%,1.03,1.03,+0.07,0.07,+6.8,False,0.114,0.114,-0.010,0.010,-8.8,False
nav_a_omni,60%,1.03,1.03,-0.19,0.19,-18.4,False,0.089,0.089,-0.010,0.010,-11.2,False
loop,60%,3.01,3.01,-0.33,0.33,-11.0,False,0.190,0.190,-0.040,0.040,-21.1,False
slippage,60%,0.91,0.91,-0.15,0.15,-16.5,False,0.118,0.118,+0.000,0.000,+0.0,True
nav_a_diff,70%,1.18,1.18,+0.05,0.05,+4.2,False,0.113,0.113,+0.004,0.004,+3.5,True
nav_a_omni,70%,1.00,1.00,-0.16,0.16,-16.0,False,0.093,0.093,-0.014,0.014,-15.1,False
loop,70%,3.32,3.32,+0.34,0.34,+10.2,False,0.208,0.208,+0.008,0.008,+3.8,False
slippage,70%,0.71,0.71,-0.04,0.04,-5.6,True,0.078,0.078,-0.002,0.002,-2.6,True
nav_a_diff,80%,1.87,1.87,+1.17,1.17,+62.6,False,0.151,0.151,+0.007,0.007,+4.6,False
nav_a_omni,80%,2.30,2.30,+2.72,2.72,+118.3,False,0.119,0.119,+0.095,0.095,+79.8,False
loop,80%,5.04,5.04,+1.80,1.80,+35.7,False,0.231,0.231,+0.024,0.024,+10.4,False
slippage,80%,4.02,4.02,+1.06,1.06,+26.4,False,0.078,0.078,+0.001,0.001,+1.3,True
nav_a_diff,90%,8.45,8.45,-0.48,0.48,-5.7,False,0.233,0.233,-0.018,0.018,-7.7,False
nav_a_omni,90%,9.23,9.23,+0.27,0.27,+2.9,False,0.230,0.230,-0.019,0.019,-8.3,False
loop,90%,8.32,8.32,-0.03,0.03,-0.4,True,0.138,0.138,-0.001,0.001,-0.7,True
slippage,90%,7.12,7.12,-0.13,0.13,-1.8,False,0.167,0.167,+0.075,0.075,+44.9,False
