scenario,param,rte_dmap_p2pl,rte_dmap_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.60,2.91,-1.31,1.31,-45.0,False,0.145,0.182,-0.037,0.037,-20.3,False
nav_a_omni,0.50m,1.35,2.64,-1.29,1.29,-48.9,False,0.103,0.134,-0.031,0.031,-23.1,False
loop,0.50m,4.13,5.80,-1.67,1.67,-28.8,False,0.275,0.310,-0.035,0.035,-11.3,False
slippage,0.50m,1.48,1.28,+0.20,0.20,+15.6,False,0.149,0.059,+0.090,0.090,+152.5,False
nav_a_diff,1.00m,1.36,2.05,-0.69,0.69,-33.7,False,0.115,0.161,-0.046,0.046,-28.6,False
nav_a_omni,1.00m,1.30,1.94,-0.64,0.64,-33.0,False,0.106,0.108,-0.002,0.002,-1.9,True
loop,1.00m,3.75,4.35,-0.60,0.60,-13.8,False,0.239,0.236,+0.003,0.003,+1.3,True
slippage,1.00m,1.01,0.96,+0.05,0.05,+5.2,False,0.091,0.074,+0.017,0.017,+23.0,False
nav_a_diff,1.50m,1.25,1.76,-0.51,0.51,-29.0,False,0.126,0.146,-0.020,0.020,-13.7,False
nav_a_omni,1.50m,1.19,1.63,-0.44,0.44,-27.0,False,0.096,0.098,-0.002,0.002,-2.0,True
loop,1.50m,2.88,3.03,-0.15,0.15,-5.0,False,0.210,0.183,+0.027,0.027,+14.8,False
slippage,1.50m,0.77,0.78,-0.01,0.01,-1.3,True,0.077,0.056,+0.021,0.021,+37.5,False
nav_a_diff,2.00m,1.16,1.51,-0.35,0.35,-23.2,False,0.115,0.127,-0.012,0.012,-9.4,False
nav_a_omni,2.00m,0.88,1.50,-0.62,0.62,-41.3,False,0.064,0.102,-0.038,0.038,-37.3,False
loop,2.00m,2.39,3.13,-0.74,0.74,-23.6,False,0.163,0.202,-0.039,0.039,-19.3,False
slippage,2.00m,0.71,0.97,-0.26,0.26,-26.8,False,0.097,0.049,+0.048,0.048,+98.0,False
nav_a_diff,2.50m,1.08,1.35,-0.27,0.27,-20.0,False,0.103,0.126,-0.023,0.023,-18.3,False
nav_a_omni,2.50m,1.05,1.23,-0.18,0.18,-14.6,False,0.105,0.088,+0.017,0.017,+19.3,False
loop,2.50m,2.91,3.86,-0.95,0.95,-24.6,False,0.189,0.199,-0.010,0.010,-5.0,False
slippage,2.50m,0.66,0.68,-0.02,0.02,-2.9,True,0.081,0.033,+0.048,0.048,+145.5,False
nav_a_diff,3.00m,1.67,1.47,+0.20,0.20,+13.6,False,0.114,0.120,-0.006,0.006,-5.0,False
nav_a_omni,3.00m,1.25,1.45,-0.20,0.20,-13.8,False,0.108,0.121,-0.013,0.013,-10.7,False
loop,3.00m,3.59,3.91,-0.32,0.32,-8.2,False,0.140,0.198,-0.058,0.058,-29.3,False
slippage,3.00m,0.75,0.92,-0.17,0.17,-18.5,False,0.090,0.060,+0.030,0.030,+50.0,False
nav_a_diff,40%,0.92,1.12,-0.20,0.20,-17.9,False,0.094,0.098,-0.004,0.004,-4.1,True
nav_a_omni,40%,1.09,1.09,+0.00,0.00,+0.0,True,0.104,0.090,+0.014,0.014,+15.6,False
loop,40%,1.41,2.54,-1.13,1.13,-44.5,False,0.107,0.158,-0.051,0.051,-32.3,False
slippage,40%,0.84,0.71,+0.13,0.13,+18.3,False,0.073,0.034,+0.039,0.039,+114.7,False
nav_a_diff,50%,1.06,1.35,-0.29,0.29,-21.5,False,0.104,0.122,-0.018,0.018,-14.8,False
nav_a_omni,50%,0.84,1.31,-0.47,0.47,-35.9,False,0.086,0.089,-0.003,0.003,-3.4,True
loop,50%,2.05,3.00,-0.95,0.95,-31.7,False,0.139,0.144,-0.005,0.005,-3.5,True
slippage,50%,0.72,0.64,+0.08,0.08,+12.5,False,0.084,0.052,+0.032,0.032,+61.5,False
nav_a_diff,60%,1.10,1.58,-0.48,0.48,-30.4,False,0.111,0.129,-0.018,0.018,-14.0,False
nav_a_omni,60%,0.85,1.39,-0.54,0.54,-38.8,False,0.084,0.090,-0.006,0.006,-6.7,False
loop,60%,2.77,3.12,-0.35,0.35,-11.2,False,0.156,0.175,-0.019,0.019,-10.9,False
slippage,60%,0.68,0.63,+0.05,0.05,+7.9,False,0.056,0.052,+0.004,0.004,+7.7,True
nav_a_diff,70%,1.24,1.83,-0.59,0.59,-32.2,False,0.124,0.141,-0.017,0.017,-12.1,False
nav_a_omni,70%,1.06,1.66,-0.60,0.60,-36.1,False,0.090,0.098,-0.008,0.008,-8.2,False
loop,70%,3.69,4.37,-0.68,0.68,-15.6,False,0.212,0.217,-0.005,0.005,-2.3,False
slippage,70%,0.69,0.95,-0.26,0.26,-27.4,False,0.056,0.082,-0.026,0.026,-31.7,False
nav_a_diff,80%,3.38,2.53,+0.85,0.85,+33.6,False,0.154,0.174,-0.020,0.020,-11.5,False
nav_a_omni,80%,5.40,2.17,+3.23,3.23,+148.8,False,0.233,0.127,+0.106,0.106,+83.5,False
loop,80%,7.10,5.34,+1.76,1.76,+33.0,False,0.253,0.256,-0.003,0.003,-1.2,True
slippage,80%,5.01,1.24,+3.77,3.77,+304.0,False,0.084,0.064,+0.020,0.020,+31.3,False
nav_a_diff,90%,8.02,5.34,+2.68,2.68,+50.2,False,0.216,0.292,-0.076,0.076,-26.0,False
nav_a_omni,90%,9.48,3.98,+5.50,5.50,+138.2,False,0.214,0.187,+0.027,0.027,+14.4,False
loop,90%,8.24,9.65,-1.41,1.41,-14.6,False,0.139,0.399,-0.260,0.260,-65.2,False
slippage,90%,7.06,2.80,+4.26,4.26,+152.1,False,0.251,0.093,+0.158,0.158,+169.9,False
