scenario,param,rte_dmap_p2pl,rte_icp_p2pl,abs_diff_rte,rel_diff_rte_%,within_thresh_rte,rre_dmap_p2pl,rre_icp_p2pl,abs_diff_rre,rel_diff_rre_%,within_thresh_rre
nav_a_diff,0.50m,1.60,1.61,0.01,0.6,True,0.145,0.146,0.001,0.7,True
nav_a_omni,0.50m,1.35,1.42,0.07,4.9,False,0.103,0.111,0.008,7.2,False
loop,0.50m,4.13,4.14,0.01,0.2,True,0.275,0.275,0.000,0.0,True
slippage,0.50m,1.48,1.48,0.00,0.0,True,0.149,0.149,0.000,0.0,True
nav_a_diff,1.00m,1.36,1.37,0.01,0.7,True,0.115,0.114,0.001,0.9,True
nav_a_omni,1.00m,1.30,1.28,0.02,1.6,True,0.106,0.103,0.003,2.9,True
loop,1.00m,3.75,3.71,0.04,1.1,True,0.239,0.238,0.001,0.4,True
slippage,1.00m,1.01,1.06,0.05,4.7,False,0.091,0.095,0.004,4.2,True
nav_a_diff,1.50m,1.25,1.25,0.00,0.0,True,0.126,0.122,0.004,3.3,True
nav_a_omni,1.50m,1.19,1.19,0.00,0.0,True,0.096,0.097,0.001,1.0,True
loop,1.50m,2.88,2.82,0.06,2.1,False,0.210,0.207,0.003,1.4,True
slippage,1.50m,0.77,0.77,0.00,0.0,True,0.077,0.077,0.000,0.0,True
nav_a_diff,2.00m,1.16,1.13,0.03,2.7,True,0.115,0.115,0.000,0.0,True
nav_a_omni,2.00m,0.88,0.91,0.03,3.3,True,0.064,0.070,0.006,8.6,False
loop,2.00m,2.39,2.45,0.06,2.4,False,0.163,0.164,0.001,0.6,True
slippage,2.00m,0.71,0.71,0.00,0.0,True,0.097,0.097,0.000,0.0,True
nav_a_diff,2.50m,1.08,1.09,0.01,0.9,True,0.103,0.095,0.008,8.4,False
nav_a_omni,2.50m,1.05,1.02,0.03,2.9,True,0.105,0.105,0.000,0.0,True
loop,2.50m,2.91,3.02,0.11,3.6,False,0.189,0.187,0.002,1.1,True
slippage,2.50m,0.66,0.66,0.00,0.0,True,0.081,0.081,0.000,0.0,True
nav_a_diff,3.00m,1.67,1.68,0.01,0.6,True,0.114,0.112,0.002,1.8,True
nav_a_omni,3.00m,1.25,1.22,0.03,2.5,True,0.108,0.103,0.005,4.9,False
loop,3.00m,3.59,3.55,0.04,1.1,True,0.140,0.140,0.000,0.0,True
slippage,3.00m,0.75,0.75,0.00,0.0,True,0.090,0.090,0.000,0.0,True
nav_a_diff,40%,0.92,0.88,0.04,4.5,True,0.094,0.082,0.012,14.6,False
nav_a_omni,40%,1.09,1.06,0.03,2.8,True,0.104,0.106,0.002,1.9,True
loop,40%,1.41,1.37,0.04,2.9,True,0.107,0.106,0.001,0.9,True
slippage,40%,0.84,0.78,0.06,7.7,False,0.073,0.073,0.000,0.0,True
nav_a_diff,50%,1.06,1.01,0.05,5.0,False,0.104,0.097,0.007,7.2,False
nav_a_omni,50%,0.84,0.83,0.01,1.2,True,0.086,0.093,0.007,7.5,False
loop,50%,2.05,2.07,0.02,1.0,True,0.139,0.140,0.001,0.7,True
slippage,50%,0.72,0.72,0.00,0.0,True,0.084,0.084,0.000,0.0,True
nav_a_diff,60%,1.10,1.08,0.02,1.9,True,0.111,0.109,0.002,1.8,True
nav_a_omni,60%,0.85,0.82,0.03,3.7,True,0.084,0.075,0.009,12.0,False
loop,60%,2.77,2.71,0.06,2.2,False,0.156,0.154,0.002,1.3,True
slippage,60%,0.68,0.82,0.14,17.1,False,0.056,0.070,0.014,20.0,False
nav_a_diff,70%,1.24,1.24,0.00,0.0,True,0.124,0.123,0.001,0.8,True
nav_a_omni,70%,1.06,0.93,0.13,14.0,False,0.090,0.090,0.000,0.0,True
loop,70%,3.69,3.91,0.22,5.6,False,0.212,0.207,0.005,2.4,False
slippage,70%,0.69,0.69,0.00,0.0,True,0.056,0.056,0.000,0.0,True
nav_a_diff,80%,3.38,3.34,0.04,1.2,True,0.154,0.155,0.001,0.6,True
nav_a_omni,80%,5.40,5.39,0.01,0.2,True,0.233,0.231,0.002,0.9,True
loop,80%,7.10,7.32,0.22,3.0,False,0.253,0.257,0.004,1.6,True
slippage,80%,5.01,4.92,0.09,1.8,False,0.084,0.081,0.003,3.7,True
nav_a_diff,90%,8.02,7.98,0.04,0.5,True,0.216,0.214,0.002,0.9,True
nav_a_omni,90%,9.48,9.45,0.03,0.3,True,0.214,0.217,0.003,1.4,True
loop,90%,8.24,8.26,0.02,0.2,True,0.139,0.136,0.003,2.2,True
slippage,90%,7.06,6.97,0.09,1.3,False,0.251,0.251,0.000,0.0,True
