scenario,param,rte_dmap_p2pl,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.60,1.60,-0.26,0.26,-16.2,False,0.145,0.145,-0.017,0.017,-11.7,False
nav_a_omni,0.50m,1.35,1.35,-0.28,0.28,-20.7,False,0.103,0.103,-0.006,0.006,-5.8,False
loop,0.50m,4.13,4.13,+0.30,0.30,+7.3,False,0.275,0.275,+0.004,0.004,+1.5,True
slippage,0.50m,1.48,1.48,-0.58,0.58,-39.2,False,0.149,0.149,-0.065,0.065,-43.6,False
nav_a_diff,1.00m,1.36,1.36,-0.06,0.06,-4.4,False,0.115,0.115,+0.005,0.005,+4.3,True
nav_a_omni,1.00m,1.30,1.30,-0.19,0.19,-14.6,False,0.106,0.106,+0.003,0.003,+2.8,True
loop,1.00m,3.75,3.75,+0.18,0.18,+4.8,False,0.239,0.239,+0.007,0.007,+2.9,False
slippage,1.00m,1.01,1.01,-0.09,0.09,-8.9,False,0.091,0.091,+0.006,0.006,+6.6,False
nav_a_diff,1.50m,1.25,1.25,-0.01,0.01,-0.8,True,0.126,0.126,-0.005,0.005,-4.0,False
nav_a_omni,1.50m,1.19,1.19,-0.07,0.07,-5.9,False,0.096,0.096,+0.006,0.006,+6.2,False
loop,1.50m,2.88,2.88,+0.95,0.95,+33.0,False,0.210,0.210,+0.017,0.017,+8.1,False
slippage,1.50m,0.77,0.77,+0.01,0.01,+1.3,True,0.077,0.077,-0.026,0.026,-33.8,False
nav_a_diff,2.00m,1.16,1.16,-0.03,0.03,-2.6,True,0.115,0.115,-0.012,0.012,-10.4,False
nav_a_omni,2.00m,0.88,0.88,+0.17,0.17,+19.3,False,0.064,0.064,+0.039,0.039,+60.9,False
loop,2.00m,2.39,2.39,+0.82,0.82,+34.3,False,0.163,0.163,+0.025,0.025,+15.3,False
slippage,2.00m,0.71,0.71,+0.29,0.29,+40.8,False,0.097,0.097,-0.044,0.044,-45.4,False
nav_a_diff,2.50m,1.08,1.08,+0.05,0.05,+4.6,True,0.103,0.103,+0.003,0.003,+2.9,True
nav_a_omni,2.50m,1.05,1.05,-0.07,0.07,-6.7,False,0.105,0.105,-0.012,0.012,-11.4,False
loop,2.50m,2.91,2.91,+0.59,0.59,+20.3,False,0.189,0.189,+0.000,0.000,+0.0,True
slippage,2.50m,0.66,0.66,+0.15,0.15,+22.7,False,0.081,0.081,-0.021,0.021,-25.9,False
nav_a_diff,3.00m,1.67,1.67,-0.45,0.45,-26.9,False,0.114,0.114,+0.009,0.009,+7.9,False
nav_a_omni,3.00m,1.25,1.25,-0.01,0.01,-0.8,True,0.108,0.108,+0.010,0.010,+9.3,False
loop,3.00m,3.59,3.59,-1.33,1.33,-37.0,False,0.140,0.140,+0.016,0.016,+11.4,False
slippage,3.00m,0.75,0.75,+0.22,0.22,+29.3,False,0.090,0.090,+0.022,0.022,+24.4,False
nav_a_diff,40%,0.92,0.92,+0.11,0.11,+12.0,False,0.094,0.094,-0.007,0.007,-7.4,False
nav_a_omni,40%,1.09,1.09,-0.09,0.09,-8.3,False,0.104,0.104,-0.019,0.019,-18.3,False
loop,40%,1.41,1.41,+0.68,0.68,+48.2,False,0.107,0.107,+0.017,0.017,+15.9,False
slippage,40%,0.84,0.84,+0.08,0.08,+9.5,False,0.073,0.073,+0.025,0.025,+34.2,False
nav_a_diff,50%,1.06,1.06,-0.04,0.04,-3.8,True,0.104,0.104,-0.014,0.014,-13.5,False
nav_a_omni,50%,0.84,0.84,+0.08,0.08,+9.5,False,0.086,0.086,+0.001,0.001,+1.2,True
loop,50%,2.05,2.05,+1.13,1.13,+55.1,False,0.139,0.139,+0.009,0.009,+6.5,False
slippage,50%,0.72,0.72,+0.34,0.34,+47.2,False,0.084,0.084,+0.049,0.049,+58.3,False
nav_a_diff,60%,1.10,1.10,+0.14,0.14,+12.7,False,0.111,0.111,-0.003,0.003,-2.7,True
nav_a_omni,60%,0.85,0.85,+0.26,0.26,+30.6,False,0.084,0.084,+0.020,0.020,+23.8,False
loop,60%,2.77,2.77,+0.47,0.47,+17.0,False,0.156,0.156,+0.012,0.012,+7.7,False
slippage,60%,0.68,0.68,+0.30,0.30,+44.1,False,0.056,0.056,-0.006,0.006,-10.7,False
nav_a_diff,70%,1.24,1.24,+0.13,0.13,+10.5,False,0.124,0.124,+0.005,0.005,+4.0,False
nav_a_omni,70%,1.06,1.06,+0.05,0.05,+4.7,False,0.090,0.090,+0.016,0.016,+17.8,False
loop,70%,3.69,3.69,+0.18,0.18,+4.9,False,0.212,0.212,+0.013,0.013,+6.1,False
slippage,70%,0.69,0.69,+0.47,0.47,+68.1,False,0.056,0.056,+0.006,0.006,+10.7,False
nav_a_diff,80%,3.38,3.38,-0.78,0.78,-23.1,False,0.154,0.154,+0.020,0.020,+13.0,False
nav_a_omni,80%,5.40,5.40,-2.78,2.78,-51.5,False,0.233,0.233,-0.017,0.017,-7.3,False
loop,80%,7.10,7.10,+0.51,0.51,+7.2,False,0.253,0.253,-0.003,0.003,-1.2,True
slippage,80%,5.01,5.01,+2.98,2.98,+59.5,False,0.084,0.084,+0.156,0.156,+185.7,False
nav_a_diff,90%,8.02,8.02,+6.00,6.00,+74.8,False,0.216,0.216,+0.414,0.414,+191.7,False
nav_a_omni,90%,9.48,9.48,+2.62,2.62,+27.6,False,0.214,0.214,+0.363,0.363,+169.6,False
loop,90%,8.24,8.24,+3.09,3.09,+37.5,False,0.139,0.139,+0.472,0.472,+339.6,False
slippage,90%,7.06,7.06,+8.97,8.97,+127.1,False,0.251,0.251,+0.221,0.221,+88.0,False
