scenario,param,rte_dmap_p2pl,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.34,3.03,-1.69,1.69,-55.8,False,0.128,0.180,-0.052,0.052,-28.9,False
nav_a_omni,0.50m,1.07,2.56,-1.49,1.49,-58.2,False,0.097,0.133,-0.036,0.036,-27.1,False
loop,0.50m,4.43,5.63,-1.20,1.20,-21.3,False,0.279,0.297,-0.018,0.018,-6.1,False
slippage,0.50m,0.90,1.20,-0.30,0.30,-25.0,False,0.084,0.070,+0.014,0.014,+20.0,False
nav_a_diff,1.00m,1.30,2.01,-0.71,0.71,-35.3,False,0.120,0.154,-0.034,0.034,-22.1,False
nav_a_omni,1.00m,1.11,1.76,-0.65,0.65,-36.9,False,0.109,0.117,-0.008,0.008,-6.8,False
loop,1.00m,3.93,4.46,-0.53,0.53,-11.9,False,0.246,0.235,+0.011,0.011,+4.7,False
slippage,1.00m,0.92,0.57,+0.35,0.35,+61.4,False,0.097,0.067,+0.030,0.030,+44.8,False
nav_a_diff,1.50m,1.24,1.56,-0.32,0.32,-20.5,False,0.121,0.133,-0.012,0.012,-9.0,False
nav_a_omni,1.50m,1.12,1.50,-0.38,0.38,-25.3,False,0.102,0.107,-0.005,0.005,-4.7,False
loop,1.50m,3.83,2.97,+0.86,0.86,+29.0,False,0.227,0.180,+0.047,0.047,+26.1,False
slippage,1.50m,0.78,0.70,+0.08,0.08,+11.4,False,0.051,0.052,-0.001,0.001,-1.9,True
nav_a_diff,2.00m,1.13,1.40,-0.27,0.27,-19.3,False,0.103,0.123,-0.020,0.020,-16.3,False
nav_a_omni,2.00m,1.05,1.19,-0.14,0.14,-11.8,False,0.103,0.100,+0.003,0.003,+3.0,True
loop,2.00m,3.21,2.56,+0.65,0.65,+25.4,False,0.188,0.180,+0.008,0.008,+4.4,False
slippage,2.00m,1.00,0.67,+0.33,0.33,+49.3,False,0.053,0.056,-0.003,0.003,-5.4,True
nav_a_diff,2.50m,1.13,1.24,-0.11,0.11,-8.9,False,0.106,0.110,-0.004,0.004,-3.6,True
nav_a_omni,2.50m,0.98,1.13,-0.15,0.15,-13.3,False,0.093,0.082,+0.011,0.011,+13.4,False
loop,2.50m,3.50,3.55,-0.05,0.05,-1.4,True,0.189,0.181,+0.008,0.008,+4.4,False
slippage,2.50m,0.81,0.67,+0.14,0.14,+20.9,False,0.060,0.045,+0.015,0.015,+33.3,False
nav_a_diff,3.00m,1.22,1.33,-0.11,0.11,-8.3,False,0.123,0.113,+0.010,0.010,+8.8,False
nav_a_omni,3.00m,1.24,1.59,-0.35,0.35,-22.0,False,0.118,0.095,+0.023,0.023,+24.2,False
loop,3.00m,2.26,3.60,-1.34,1.34,-37.2,False,0.156,0.186,-0.030,0.030,-16.1,False
slippage,3.00m,0.97,0.67,+0.30,0.30,+44.8,False,0.112,0.038,+0.074,0.074,+194.7,False
nav_a_diff,40%,1.03,1.10,-0.07,0.07,-6.4,False,0.087,0.099,-0.012,0.012,-12.1,False
nav_a_omni,40%,1.00,1.07,-0.07,0.07,-6.5,False,0.085,0.092,-0.007,0.007,-7.6,False
loop,40%,2.09,3.36,-1.27,1.27,-37.8,False,0.124,0.192,-0.068,0.068,-35.4,False
slippage,40%,0.92,0.56,+0.36,0.36,+64.3,False,0.098,0.055,+0.043,0.043,+78.2,False
nav_a_diff,50%,1.02,1.32,-0.30,0.30,-22.7,False,0.090,0.116,-0.026,0.026,-22.4,False
nav_a_omni,50%,0.92,1.16,-0.24,0.24,-20.7,False,0.087,0.082,+0.005,0.005,+6.1,True
loop,50%,3.18,2.95,+0.23,0.23,+7.8,False,0.148,0.158,-0.010,0.010,-6.3,False
slippage,50%,1.06,0.72,+0.34,0.34,+47.2,False,0.133,0.065,+0.068,0.068,+104.6,False
nav_a_diff,60%,1.24,1.48,-0.24,0.24,-16.2,False,0.108,0.133,-0.025,0.025,-18.8,False
nav_a_omni,60%,1.11,1.21,-0.10,0.10,-8.3,False,0.104,0.100,+0.004,0.004,+4.0,True
loop,60%,3.24,3.15,+0.09,0.09,+2.9,False,0.168,0.169,-0.001,0.001,-0.6,True
slippage,60%,0.98,0.64,+0.34,0.34,+53.1,False,0.050,0.048,+0.002,0.002,+4.2,True
nav_a_diff,70%,1.37,1.80,-0.43,0.43,-23.9,False,0.129,0.147,-0.018,0.018,-12.2,False
nav_a_omni,70%,1.11,1.60,-0.49,0.49,-30.6,False,0.106,0.110,-0.004,0.004,-3.6,True
loop,70%,3.87,4.32,-0.45,0.45,-10.4,False,0.225,0.209,+0.016,0.016,+7.7,False
slippage,70%,1.16,0.88,+0.28,0.28,+31.8,False,0.062,0.070,-0.008,0.008,-11.4,False
nav_a_diff,80%,2.60,2.54,+0.06,0.06,+2.4,False,0.174,0.169,+0.005,0.005,+3.0,True
nav_a_omni,80%,2.62,2.14,+0.48,0.48,+22.4,False,0.216,0.111,+0.105,0.105,+94.6,False
loop,80%,7.61,5.24,+2.37,2.37,+45.2,False,0.250,0.247,+0.003,0.003,+1.2,True
slippage,80%,7.99,0.83,+7.16,7.16,+862.7,False,0.240,0.057,+0.183,0.183,+321.1,False
nav_a_diff,90%,14.02,5.14,+8.88,8.88,+172.8,False,0.630,0.298,+0.332,0.332,+111.4,False
