scenario,param,rte_dmap_p2pl,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.34,1.61,-0.27,0.27,-16.8,False,0.128,0.146,-0.018,0.018,-12.3,False
nav_a_omni,0.50m,1.07,1.42,-0.35,0.35,-24.6,False,0.097,0.111,-0.014,0.014,-12.6,False
loop,0.50m,4.43,4.14,+0.29,0.29,+7.0,False,0.279,0.275,+0.004,0.004,+1.5,True
slippage,0.50m,0.90,1.48,-0.58,0.58,-39.2,False,0.084,0.149,-0.065,0.065,-43.6,False
nav_a_diff,1.00m,1.30,1.37,-0.07,0.07,-5.1,False,0.120,0.114,+0.006,0.006,+5.3,False
nav_a_omni,1.00m,1.11,1.28,-0.17,0.17,-13.3,False,0.109,0.103,+0.006,0.006,+5.8,False
loop,1.00m,3.93,3.71,+0.22,0.22,+5.9,False,0.246,0.238,+0.008,0.008,+3.4,False
slippage,1.00m,0.92,1.06,-0.14,0.14,-13.2,False,0.097,0.095,+0.002,0.002,+2.1,True
nav_a_diff,1.50m,1.24,1.25,-0.01,0.01,-0.8,True,0.121,0.122,-0.001,0.001,-0.8,True
nav_a_omni,1.50m,1.12,1.19,-0.07,0.07,-5.9,False,0.102,0.097,+0.005,0.005,+5.2,True
loop,1.50m,3.83,2.82,+1.01,1.01,+35.8,False,0.227,0.207,+0.020,0.020,+9.7,False
slippage,1.50m,0.78,0.77,+0.01,0.01,+1.3,True,0.051,0.077,-0.026,0.026,-33.8,False
nav_a_diff,2.00m,1.13,1.13,+0.00,0.00,+0.0,True,0.103,0.115,-0.012,0.012,-10.4,False
nav_a_omni,2.00m,1.05,0.91,+0.14,0.14,+15.4,False,0.103,0.070,+0.033,0.033,+47.1,False
loop,2.00m,3.21,2.45,+0.76,0.76,+31.0,False,0.188,0.164,+0.024,0.024,+14.6,False
slippage,2.00m,1.00,0.71,+0.29,0.29,+40.8,False,0.053,0.097,-0.044,0.044,-45.4,False
nav_a_diff,2.50m,1.13,1.09,+0.04,0.04,+3.7,True,0.106,0.095,+0.011,0.011,+11.6,False
nav_a_omni,2.50m,0.98,1.02,-0.04,0.04,-3.9,True,0.093,0.105,-0.012,0.012,-11.4,False
loop,2.50m,3.50,3.02,+0.48,0.48,+15.9,False,0.189,0.187,+0.002,0.002,+1.1,True
slippage,2.50m,0.81,0.66,+0.15,0.15,+22.7,False,0.060,0.081,-0.021,0.021,-25.9,False
nav_a_diff,3.00m,1.22,1.68,-0.46,0.46,-27.4,False,0.123,0.112,+0.011,0.011,+9.8,False
nav_a_omni,3.00m,1.24,1.22,+0.02,0.02,+1.6,True,0.118,0.103,+0.015,0.015,+14.6,False
loop,3.00m,2.26,3.55,-1.29,1.29,-36.3,False,0.156,0.140,+0.016,0.016,+11.4,False
slippage,3.00m,0.97,0.75,+0.22,0.22,+29.3,False,0.112,0.090,+0.022,0.022,+24.4,False
nav_a_diff,40%,1.03,0.88,+0.15,0.15,+17.0,False,0.087,0.082,+0.005,0.005,+6.1,True
