scenario,param,rte_icp_p2pl,rte_icp_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_icp_p2pl,rre_icp_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.63,1.63,-0.02,0.02,-1.2,True,0.153,0.153,-0.007,0.007,-4.6,False
nav_a_omni,0.50m,1.34,1.34,+0.08,0.08,+6.0,False,0.101,0.101,+0.010,0.010,+9.9,False
loop,0.50m,4.20,4.20,-0.06,0.06,-1.4,False,0.285,0.285,-0.010,0.010,-3.5,False
slippage,0.50m,1.13,1.13,+0.35,0.35,+31.0,False,0.120,0.120,+0.029,0.029,+24.2,False
nav_a_diff,1.00m,1.38,1.38,-0.01,0.01,-0.7,True,0.115,0.115,-0.001,0.001,-0.9,True
nav_a_omni,1.00m,1.18,1.18,+0.10,0.10,+8.5,False,0.106,0.106,-0.003,0.003,-2.8,True
loop,1.00m,3.81,3.81,-0.10,0.10,-2.6,False,0.236,0.236,+0.002,0.002,+0.8,True
slippage,1.00m,0.74,0.74,+0.32,0.32,+43.2,False,0.093,0.093,+0.002,0.002,+2.2,True
nav_a_diff,1.50m,1.32,1.32,-0.07,0.07,-5.3,False,0.127,0.127,-0.005,0.005,-3.9,False
nav_a_omni,1.50m,1.04,1.04,+0.15,0.15,+14.4,False,0.081,0.081,+0.016,0.016,+19.8,False
loop,1.50m,2.88,2.88,-0.06,0.06,-2.1,False,0.209,0.209,-0.002,0.002,-1.0,True
slippage,1.50m,0.79,0.79,-0.02,0.02,-2.5,True,0.115,0.115,-0.038,0.038,-33.0,False
nav_a_diff,2.00m,1.10,1.10,+0.03,0.03,+2.7,True,0.114,0.114,+0.001,0.001,+0.9,True
nav_a_omni,2.00m,0.88,0.88,+0.03,0.03,+3.4,True,0.071,0.071,-0.001,0.001,-1.4,True
loop,2.00m,2.74,2.74,-0.29,0.29,-10.6,False,0.161,0.161,+0.003,0.003,+1.9,True
