scenario,param,rte_icp_p2pl,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_icp_p2pl,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.61,3.03,-1.42,1.42,-46.9,False,0.146,0.180,-0.034,0.034,-18.9,False
nav_a_omni,0.50m,1.42,2.56,-1.14,1.14,-44.5,False,0.111,0.133,-0.022,0.022,-16.5,False
loop,0.50m,4.14,5.63,-1.49,1.49,-26.5,False,0.275,0.297,-0.022,0.022,-7.4,False
slippage,0.50m,1.48,1.20,+0.28,0.28,+23.3,False,0.149,0.070,+0.079,0.079,+112.9,False
nav_a_diff,1.00m,1.37,2.01,-0.64,0.64,-31.8,False,0.114,0.154,-0.040,0.040,-26.0,False
nav_a_omni,1.00m,1.28,1.76,-0.48,0.48,-27.3,False,0.103,0.117,-0.014,0.014,-12.0,False
loop,1.00m,3.71,4.46,-0.75,0.75,-16.8,False,0.238,0.235,+0.003,0.003,+1.3,True
slippage,1.00m,1.06,0.57,+0.49,0.49,+86.0,False,0.095,0.067,+0.028,0.028,+41.8,False
nav_a_diff,1.50m,1.25,1.56,-0.31,0.31,-19.9,False,0.122,0.133,-0.011,0.011,-8.3,False
nav_a_omni,1.50m,1.19,1.50,-0.31,0.31,-20.7,False,0.097,0.107,-0.010,0.010,-9.3,False
loop,1.50m,2.82,2.97,-0.15,0.15,-5.1,False,0.207,0.180,+0.027,0.027,+15.0,False
slippage,1.50m,0.77,0.70,+0.07,0.07,+10.0,False,0.077,0.052,+0.025,0.025,+48.1,False
nav_a_diff,2.00m,1.13,1.40,-0.27,0.27,-19.3,False,0.115,0.123,-0.008,0.008,-6.5,False
nav_a_omni,2.00m,0.91,1.19,-0.28,0.28,-23.5,False,0.070,0.100,-0.030,0.030,-30.0,False
loop,2.00m,2.45,2.56,-0.11,0.11,-4.3,False,0.164,0.180,-0.016,0.016,-8.9,False
slippage,2.00m,0.71,0.67,+0.04,0.04,+6.0,True,0.097,0.056,+0.041,0.041,+73.2,False
nav_a_diff,2.50m,1.09,1.24,-0.15,0.15,-12.1,False,0.095,0.110,-0.015,0.015,-13.6,False
nav_a_omni,2.50m,1.02,1.13,-0.11,0.11,-9.7,False,0.105,0.082,+0.023,0.023,+28.0,False
loop,2.50m,3.02,3.55,-0.53,0.53,-14.9,False,0.187,0.181,+0.006,0.006,+3.3,False
slippage,2.50m,0.66,0.67,-0.01,0.01,-1.5,True,0.081,0.045,+0.036,0.036,+80.0,False
nav_a_diff,3.00m,1.68,1.33,+0.35,0.35,+26.3,False,0.112,0.113,-0.001,0.001,-0.9,True
nav_a_omni,3.00m,1.22,1.59,-0.37,0.37,-23.3,False,0.103,0.095,+0.008,0.008,+8.4,False
loop,3.00m,3.55,3.60,-0.05,0.05,-1.4,False,0.140,0.186,-0.046,0.046,-24.7,False
slippage,3.00m,0.75,0.67,+0.08,0.08,+11.9,False,0.090,0.038,+0.052,0.052,+136.8,False
nav_a_diff,40%,0.88,1.10,-0.22,0.22,-20.0,False,0.082,0.099,-0.017,0.017,-17.2,False
nav_a_omni,40%,1.06,1.07,-0.01,0.01,-0.9,True,0.106,0.092,+0.014,0.014,+15.2,False
loop,40%,1.37,3.36,-1.99,1.99,-59.2,False,0.106,0.192,-0.086,0.086,-44.8,False
slippage,40%,0.78,0.56,+0.22,0.22,+39.3,False,0.073,0.055,+0.018,0.018,+32.7,False
nav_a_diff,50%,1.01,1.32,-0.31,0.31,-23.5,False,0.097,0.116,-0.019,0.019,-16.4,False
nav_a_omni,50%,0.83,1.16,-0.33,0.33,-28.4,False,0.093,0.082,+0.011,0.011,+13.4,False
loop,50%,2.07,2.95,-0.88,0.88,-29.8,False,0.140,0.158,-0.018,0.018,-11.4,False
slippage,50%,0.72,0.72,+0.00,0.00,+0.0,True,0.084,0.065,+0.019,0.019,+29.2,False
nav_a_diff,60%,1.08,1.48,-0.40,0.40,-27.0,False,0.109,0.133,-0.024,0.024,-18.0,False
nav_a_omni,60%,0.82,1.21,-0.39,0.39,-32.2,False,0.075,0.100,-0.025,0.025,-25.0,False
loop,60%,2.71,3.15,-0.44,0.44,-14.0,False,0.154,0.169,-0.015,0.015,-8.9,False
slippage,60%,0.82,0.64,+0.18,0.18,+28.1,False,0.070,0.048,+0.022,0.022,+45.8,False
nav_a_diff,70%,1.24,1.80,-0.56,0.56,-31.1,False,0.123,0.147,-0.024,0.024,-16.3,False
nav_a_omni,70%,0.93,1.60,-0.67,0.67,-41.9,False,0.090,0.110,-0.020,0.020,-18.2,False
loop,70%,3.91,4.32,-0.41,0.41,-9.5,False,0.207,0.209,-0.002,0.002,-1.0,True
slippage,70%,0.69,0.88,-0.19,0.19,-21.6,False,0.056,0.070,-0.014,0.014,-20.0,False
nav_a_diff,80%,3.34,2.54,+0.80,0.80,+31.5,False,0.155,0.169,-0.014,0.014,-8.3,False
