,,nav_a_diff_rte,nav_a_diff_rre,nav_a_omni_rte,nav_a_omni_rre,loop_rte,loop_rre,slippage_rte,slippage_rre,
dmap_p2p,0.50m,1.62,0.109,1.38,0.080,2.87,0.140,1.47,0.088,
dmap_p2p,1.00m,1.12,0.096,1.01,0.077,3.09,0.160,0.89,0.088,
dmap_p2p,1.50m,1.11,0.098,0.98,0.080,2.81,0.154,1.04,0.142,
dmap_p2p,2.00m,1.06,0.091,0.92,0.079,2.82,0.155,0.55,0.056,
dmap_p2p,2.50m,1.12,0.091,0.91,0.080,3.07,0.166,0.85,0.086,
dmap_p2p,3.00m,1.09,0.091,1.36,0.123,3.03,0.156,0.88,0.069,
dmap_p2p,40%,1.01,0.090,0.89,0.087,2.14,0.134,0.66,0.076,
dmap_p2p,50%,0.95,0.078,0.81,0.065,2.33,0.123,0.64,0.070,
dmap_p2p,60%,1.10,0.089,0.89,0.080,2.80,0.143,0.85,0.087,
dmap_p2p,70%,1.15,0.094,0.97,0.063,3.01,0.155,0.81,0.080,
dmap_p2p,80%,1.37,0.112,1.15,0.075,3.18,0.160,0.89,0.083,
dmap_p2p,90%,1.92,0.131,1.61,0.067,3.99,0.133,2.05,0.144,
dmap_p2pl,0.50m,1.34,0.128,1.07,0.097,4.43,0.279,0.90,0.084,
dmap_p2pl,1.00m,1.30,0.120,1.11,0.109,3.93,0.246,0.92,0.097,
dmap_p2pl,1.50m,1.24,0.121,1.12,0.102,3.83,0.227,0.78,0.051,
dmap_p2pl,2.00m,1.13,0.103,1.05,0.103,3.21,0.188,1.00,0.053,
dmap_p2pl,2.50m,1.13,0.106,0.98,0.093,3.50,0.189,0.81,0.060,
dmap_p2pl,3.00m,1.22,0.123,1.24,0.118,2.26,0.156,0.97,0.112,
dmap_p2pl,40%, 1.03,0.087, 1.00,0.085, 2.09,0.124, 0.92,0.098,
dmap_p2pl,50%, 1.02,0.090, 0.92,0.087, 3.18,0.148, 1.06,0.133,
dmap_p2pl,60%, 1.24,0.108, 1.11,0.104, 3.24,0.168, 0.98,0.050,
dmap_p2pl,70%, 1.37,0.129, 1.11,0.106, 3.87,0.225, 1.16,0.062,
dmap_p2pl,80%, 2.60,0.174, 2.62,0.216, 7.61,0.250, 7.99,0.240,
dmap_p2pl,90%,14.02,0.630,12.10,0.577,11.33,0.611,16.03,0.472,
icp_p2p,0.50m,3.03,0.180,2.56,0.133,5.63,0.297,1.20,0.070,
icp_p2p,1.00m,2.01,0.154,1.76,0.117,4.46,0.235,0.57,0.067,
icp_p2p,1.50m,1.56,0.133,1.50,0.107,2.97,0.180,0.70,0.052,
icp_p2p,2.00m,1.40,0.123,1.19,0.100,2.56,0.180,0.67,0.056,
icp_p2p,2.50m,1.24,0.110,1.13,0.082,3.55,0.181,0.67,0.045,
icp_p2p,3.00m,1.33,0.113,1.59,0.095,3.60,0.186,0.67,0.038,
icp_p2p,40%,1.10,0.099,1.07,0.092, 3.36,0.192,0.56,0.055,
icp_p2p,50%,1.32,0.116,1.16,0.082, 2.95,0.158,0.72,0.065,
icp_p2p,60%,1.48,0.133,1.21,0.100, 3.15,0.169,0.64,0.048,
icp_p2p,70%,1.80,0.147,1.60,0.110, 4.32,0.209,0.88,0.070,
icp_p2p,80%,2.54,0.169,2.14,0.111, 5.24,0.247,0.83,0.057,
icp_p2p,90%,5.14,0.298,4.01,0.177,10.01,0.403,2.63,0.099,
icp_p2pl,0.50m,1.61,0.146,1.42,0.111,4.14,0.275,1.48,0.149,
icp_p2pl,1.00m,1.37,0.114,1.28,0.103,3.71,0.238,1.06,0.095,
icp_p2pl,1.50m,1.25,0.122,1.19,0.097,2.82,0.207,0.77,0.077,
icp_p2pl,2.00m,1.13,0.115,0.91,0.070,2.45,0.164,0.71,0.097,
icp_p2pl,2.50m,1.09,0.095,1.02,0.105,3.02,0.187,0.66,0.081,
icp_p2pl,3.00m,1.68,0.112,1.22,0.103,3.55,0.140,0.75,0.090,
icp_p2pl,40%,0.88,0.082,1.06,0.106,1.37,0.106,0.78,0.073,
icp_p2pl,50%,1.01,0.097,0.83,0.093,2.07,0.140,0.72,0.084,
icp_p2pl,60%,1.08,0.109,0.82,0.075,2.71,0.154,0.82,0.070,
icp_p2pl,70%,1.24,0.123,0.93,0.090,3.91,0.207,0.69,0.056,
icp_p2pl,80%,3.34,0.155,5.39,0.231,7.32,0.257,4.92,0.081,
icp_p2pl,90%,7.98,0.214,9.45,0.217,8.26,0.136,6.97,0.251,
