graph_id,gt_x,gt_y,gt_th,est_x,est_y,est_th,err_x,err_y,err_th,err_trans,err_rot
1,-8.000000000e+00,-7.000000000e+00,1.570796371e+00,-8.003371239e+00,-6.992932796e+00,1.569920897e+00,7.067203522e-03,3.371238708e-03,-8.754685405e-04,7.830109447e-03,8.754685405e-04
2,-8.000000000e+00,-6.000000000e+00,0.000000000e+00,-8.002401352e+00,-6.000053406e+00,-2.489035833e-04,-2.401351929e-03,-5.340576172e-05,-2.489035833e-04,2.401945647e-03,2.489035833e-04
3,-8.000000000e+00,-5.000000000e+00,1.570796371e+00,-8.000652313e+00,-4.999647141e+00,1.570408821e+00,3.528594971e-04,6.523132324e-04,-3.875526309e-04,7.416349254e-04,3.875526309e-04
4,-8.000000000e+00,-4.000000000e+00,0.000000000e+00,-8.001378059e+00,-4.000962257e+00,6.937263970e-05,-1.378059387e-03,-9.622573853e-04,6.937263970e-05,1.680769725e-03,6.937263970e-05
5,-8.000000000e+00,-3.000000000e+00,1.570796371e+00,-7.999968529e+00,-3.000319719e+00,1.570436120e+00,-3.197193146e-04,-3.147125244e-05,-3.602312063e-04,3.212644951e-04,3.602312063e-04
6,-8.000000000e+00,-2.000000000e+00,0.000000000e+00,-8.000452995e+00,-1.999082685e+00,-2.619368606e-04,-4.529953003e-04,9.173154831e-04,-2.619368606e-04,1.023070072e-03,2.619368606e-04
7,-8.000000000e+00,-1.000000000e+00,1.570796371e+00,-8.001292229e+00,-1.000541925e+00,1.570748568e+00,-5.419254303e-04,1.292228699e-03,-4.778961011e-05,1.401263056e-03,4.778961011e-05
8,-8.000000000e+00,0.000000000e+00,0.000000000e+00,-8.002978325e+00,-4.496886395e-04,-8.726643136e-05,-2.978324890e-03,-4.496886395e-04,-8.726643136e-05,3.012082074e-03,8.726643136e-05
9,-8.000000000e+00,1.000000000e+00,1.570796371e+00,-8.000251770e+00,9.995878339e-01,1.570819020e+00,-4.121661186e-04,2.517700195e-04,2.262960516e-05,4.829793470e-04,2.262960516e-05
10,-8.000000000e+00,2.000000000e+00,0.000000000e+00,-8.000986099e+00,1.997898936e+00,3.212033698e-05,-9.860992432e-04,-2.101063728e-03,3.212033698e-05,2.320961095e-03,3.212033698e-05
11,-8.000000000e+00,3.000000000e+00,1.570796371e+00,-8.001329422e+00,2.997725248e+00,1.570988059e+00,-2.274751663e-03,1.329421997e-03,1.917655609e-04,2.634740667e-03,1.917655609e-04
12,-8.000000000e+00,4.000000000e+00,0.000000000e+00,-8.000224113e+00,4.002305508e+00,-4.858177272e-04,-2.241134644e-04,2.305507660e-03,-4.858177272e-04,2.316374797e-03,4.858177272e-04
13,-8.000000000e+00,5.000000000e+00,1.570796371e+00,-8.001174927e+00,5.000762939e+00,1.570677757e+00,7.629394531e-04,1.174926758e-03,-1.186091395e-04,1.400903100e-03,1.186091395e-04
14,-8.000000000e+00,6.000000000e+00,0.000000000e+00,-7.997830391e+00,6.004745960e+00,-4.625981965e-04,2.169609070e-03,4.745960236e-03,-4.625981965e-04,5.218365695e-03,4.625981965e-04
15,-8.000000000e+00,7.000000000e+00,1.570796371e+00,-8.000630379e+00,7.001846313e+00,1.571040630e+00,1.846313477e-03,6.308555603e-04,2.443506382e-04,1.951115672e-03,2.443506382e-04
16,-8.000000000e+00,8.000000000e+00,0.000000000e+00,-7.997909546e+00,8.002083778e+00,-2.077137324e-04,2.090454102e-03,2.083778381e-03,-2.077137324e-04,2.951631788e-03,2.077137324e-04
