graph_id,gt_x,gt_y,gt_th,est_x,est_y,est_th,err_x,err_y,err_th,err_trans,err_rot
1,-8.000000000e+00,-7.000000000e+00,1.570796371e+00,-8.014611244e+00,-6.994484901e+00,1.570093989e+00,5.515098572e-03,1.461124420e-02,-7.023837534e-04,1.561745070e-02,7.023837534e-04
2,-8.000000000e+00,-6.000000000e+00,0.000000000e+00,-8.032292366e+00,-5.984636307e+00,-4.936683108e-04,-3.229236603e-02,1.536369324e-02,-4.936683108e-04,3.576087207e-02,4.936683108e-04
3,-8.000000000e+00,-5.000000000e+00,1.570796371e+00,-8.018511772e+00,-4.965111256e+00,1.569415331e+00,3.488874435e-02,1.851177216e-02,-1.381009119e-03,3.949569911e-02,1.381009119e-03
4,-8.000000000e+00,-4.000000000e+00,0.000000000e+00,-8.006499290e+00,-3.983369827e+00,-1.675959327e-03,-6.499290466e-03,1.663017273e-02,-1.675959327e-03,1.785506681e-02,1.675959327e-03
5,-8.000000000e+00,-3.000000000e+00,1.570796371e+00,-8.022782326e+00,-2.970432997e+00,1.569425941e+00,2.956700325e-02,2.278232574e-02,-1.370437210e-03,3.732615709e-02,1.370437210e-03
6,-8.000000000e+00,-2.000000000e+00,0.000000000e+00,-8.039345741e+00,-1.990542650e+00,-6.820507115e-04,-3.934574127e-02,9.457349777e-03,-6.820507115e-04,4.046639055e-02,6.820507115e-04
7,-8.000000000e+00,-1.000000000e+00,1.570796371e+00,-8.053030014e+00,-1.010616779e+00,1.569756150e+00,-1.061677933e-02,5.303001404e-02,-1.040164963e-03,5.408233032e-02,1.040164963e-03
8,-8.000000000e+00,0.000000000e+00,0.000000000e+00,-8.039126396e+00,-8.630752563e-04,-6.896788836e-04,-3.912639618e-02,-8.630752563e-04,-6.896788836e-04,3.913591430e-02,6.896788836e-04
9,-8.000000000e+00,1.000000000e+00,1.570796371e+00,-8.027615547e+00,9.728714824e-01,1.570591092e+00,-2.712851763e-02,2.761554718e-02,-2.052693890e-04,3.871143237e-02,2.052693890e-04
10,-8.000000000e+00,2.000000000e+00,0.000000000e+00,-8.031447411e+00,1.967265010e+00,5.614746478e-04,-3.144741058e-02,-3.273499012e-02,5.614746478e-04,4.539294168e-02,5.614746478e-04
11,-8.000000000e+00,3.000000000e+00,1.570796371e+00,-8.037512779e+00,2.960026026e+00,1.571885228e+00,-3.997397423e-02,3.751277924e-02,1.088880817e-03,5.481904000e-02,1.088880817e-03
12,-8.000000000e+00,4.000000000e+00,0.000000000e+00,-8.028664589e+00,3.980509758e+00,1.272372319e-03,-2.866458893e-02,-1.949024200e-02,1.272372319e-03,3.466306627e-02,1.272372319e-03
13,-8.000000000e+00,5.000000000e+00,1.570796371e+00,-8.017899513e+00,4.961424351e+00,1.572566509e+00,-3.857564926e-02,1.789951324e-02,1.770217437e-03,4.252614826e-02,1.770217437e-03
14,-8.000000000e+00,6.000000000e+00,0.000000000e+00,-8.021200180e+00,5.969844341e+00,5.232384428e-04,-2.120018005e-02,-3.015565872e-02,5.232384428e-04,3.686206043e-02,5.232384428e-04
15,-8.000000000e+00,7.000000000e+00,1.570796371e+00,-8.036500931e+00,6.978961468e+00,1.571675658e+00,-2.103853226e-02,3.650140762e-02,8.793734014e-04,4.213042185e-02,8.793734014e-04
16,-8.000000000e+00,8.000000000e+00,0.000000000e+00,-8.050559998e+00,7.972014427e+00,3.194762103e-04,-5.055999756e-02,-2.798557281e-02,3.194762103e-04,5.778845400e-02,3.194762103e-04
17,-7.000000000e+00,-8.000000000e+00,3.141592503e+00,-7.010293007e+00,-7.997757435e+00,-3.141216278e+00,1.029300690e-02,-2.243041992e-03,3.763985296e-04,1.053457335e-02,3.763985296e-04
