graph_id,gt_x,gt_y,gt_th,est_x,est_y,est_th,err_x,err_y,err_th,err_trans,err_rot
1,-8.000000000e+00,-7.000000000e+00,1.570796371e+00,-8.000032425e+00,-7.000019073e+00,1.570798159e+00,-1.907348633e-05,3.242492676e-05,1.762621650e-06,3.761879634e-05,1.762621650e-06
2,-8.000000000e+00,-6.000000000e+00,0.000000000e+00,-8.000012398e+00,-6.000050068e+00,7.480674867e-06,-1.239776611e-05,-5.006790161e-05,7.480674867e-06,5.158002750e-05,7.480674867e-06
3,-8.000000000e+00,-5.000000000e+00,1.570796371e+00,-8.000013351e+00,-5.000067711e+00,1.570812464e+00,-6.771087646e-05,1.335144043e-05,1.616325790e-05,6.901466259e-05,1.616325790e-05
4,-8.000000000e+00,-4.000000000e+00,0.000000000e+00,-8.000009537e+00,-4.000038624e+00,1.536968193e-05,-9.536743164e-06,-3.862380981e-05,1.536968193e-05,3.978376844e-05,1.536968193e-05
5,-8.000000000e+00,-3.000000000e+00,1.570796371e+00,-8.000041008e+00,-3.000052691e+00,1.570812941e+00,-5.269050598e-05,4.100799561e-05,1.659312693e-05,6.676784687e-05,1.659312693e-05
6,-8.000000000e+00,-2.000000000e+00,0.000000000e+00,-8.000025749e+00,-2.000007868e+00,1.582368895e-05,-2.574920654e-05,-7.867813110e-06,1.582368895e-05,2.692441558e-05,1.582368895e-05
7,-8.000000000e+00,-1.000000000e+00,1.570796371e+00,-8.000023842e+00,-1.000116587e+00,1.570819616e+00,-1.165866852e-04,2.384185791e-05,2.321982174e-05,1.189995382e-04,2.321982174e-05
8,-8.000000000e+00,0.000000000e+00,0.000000000e+00,-8.000034332e+00,-9.981390758e-05,2.050724834e-05,-3.433227539e-05,-9.981390758e-05,2.050724834e-05,1.055534085e-04,2.050724834e-05
9,-8.000000000e+00,1.000000000e+00,1.570796371e+00,-8.000038147e+00,9.998486638e-01,1.570812225e+00,-1.513361931e-04,3.814697266e-05,1.594476453e-05,1.560699748e-04,1.594476453e-05
10,-8.000000000e+00,2.000000000e+00,0.000000000e+00,-8.000066757e+00,1.999834061e+00,1.574692760e-05,-6.675720215e-05,-1.659393311e-04,1.574692760e-05,1.788641530e-04,1.574692760e-05
