graph_id,gt_x,gt_y,gt_th,est_x,est_y,est_th,err_x,err_y,err_th,err_trans,err_rot
1,-8.000000000e+00,-7.000000000e+00,1.570796371e+00,-7.999988556e+00,-6.999958038e+00,1.570796967e+00,4.196166992e-05,-1.096725464e-05,6.658782468e-07,4.337121572e-05,6.658782468e-07
2,-8.000000000e+00,-6.000000000e+00,0.000000000e+00,-7.999987125e+00,-6.000006676e+00,5.972422059e-06,1.287460327e-05,-6.675720215e-06,5.972422059e-06,1.450243599e-05,5.972422059e-06
3,-8.000000000e+00,-5.000000000e+00,1.570796371e+00,-8.000048637e+00,-5.000031471e+00,1.570806623e+00,-3.147125244e-05,4.863739014e-05,1.025785423e-05,5.793129822e-05,1.025785423e-05
4,-8.000000000e+00,-4.000000000e+00,0.000000000e+00,-8.000036240e+00,-4.000022888e+00,1.180655545e-05,-3.623962402e-05,-2.288818359e-05,1.180655545e-05,4.286232797e-05,1.180655545e-05
5,-8.000000000e+00,-3.000000000e+00,1.570796371e+00,-8.000072479e+00,-3.000026703e+00,1.570809364e+00,-2.670288086e-05,7.247924805e-05,1.296729624e-05,7.724173338e-05,1.296729624e-05
6,-8.000000000e+00,-2.000000000e+00,0.000000000e+00,-8.000045776e+00,-1.999855638e+00,3.519746087e-06,-4.577636719e-05,1.443624496e-04,3.519746087e-06,1.514463365e-04,3.519746087e-06
7,-8.000000000e+00,-1.000000000e+00,1.570796371e+00,-8.000040054e+00,-9.999669790e-01,1.570807695e+00,3.302097321e-05,4.005432129e-05,1.131375211e-05,5.191082164e-05,1.131375211e-05
8,-8.000000000e+00,0.000000000e+00,0.000000000e+00,-8.000043869e+00,6.450914952e-05,7.680409908e-06,-4.386901855e-05,6.450914952e-05,7.680409908e-06,7.801231550e-05,7.680409908e-06
9,-8.000000000e+00,1.000000000e+00,1.570796371e+00,-8.000032425e+00,1.000047803e+00,1.570797086e+00,4.780292511e-05,3.242492676e-05,7.999562399e-07,5.776240505e-05,7.999562399e-07
10,-8.000000000e+00,2.000000000e+00,0.000000000e+00,-8.000058174e+00,2.000007153e+00,3.825528438e-06,-5.817413330e-05,7.152557373e-06,3.825528438e-06,5.861218960e-05,3.825528438e-06
11,-8.000000000e+00,3.000000000e+00,1.570796371e+00,-8.000078201e+00,3.000112295e+00,1.570796132e+00,1.122951508e-04,7.820129395e-05,-2.334479063e-07,1.368416706e-04,2.334479063e-07
12,-8.000000000e+00,4.000000000e+00,0.000000000e+00,-8.000069618e+00,4.000083447e+00,1.045990984e-06,-6.961822510e-05,8.344650269e-05,1.045990984e-06,1.086738994e-04,1.045990984e-06
13,-8.000000000e+00,5.000000000e+00,1.570796371e+00,-8.000086784e+00,5.000085831e+00,1.570797086e+00,8.583068848e-05,8.678436279e-05,8.031982475e-07,1.220591366e-04,8.031982475e-07
14,-8.000000000e+00,6.000000000e+00,0.000000000e+00,-8.000057220e+00,6.000062466e+00,3.913430191e-06,-5.722045898e-05,6.246566772e-05,3.913430191e-06,8.471210458e-05,3.913430191e-06
15,-8.000000000e+00,7.000000000e+00,1.570796371e+00,-8.000065804e+00,7.000051498e+00,1.570805669e+00,5.149841309e-05,6.628036499e-05,9.347577361e-06,8.393553435e-05,9.347577361e-06
16,-8.000000000e+00,8.000000000e+00,0.000000000e+00,-8.000119209e+00,8.000114441e+00,4.628991974e-06,-1.192092896e-04,1.144409180e-04,4.628991974e-06,1.652500505e-04,4.628991974e-06
17,-7.000000000e+00,-8.000000000e+00,3.141592503e+00,-6.999933243e+00,-7.999974251e+00,-3.141586781e+00,-6.675720215e-05,-2.622604370e-05,6.064694844e-06,7.172398182e-05,6.064694844e-06
18,-7.000000000e+00,-7.000000000e+00,-1.570796371e+00,-6.999970913e+00,-6.999976158e+00,-1.570791721e+00,-2.384185791e-05,2.908706665e-05,4.620198069e-06,3.760972686e-05,4.620198069e-06
19,-7.000000000e+00,-6.000000000e+00,3.141592503e+00,-7.000008106e+00,-5.999961853e+00,-3.141591549e+00,8.106231689e-06,-3.814697266e-05,1.153796234e-06,3.899875082e-05,1.153796234e-06
20,-7.000000000e+00,-5.000000000e+00,-1.570796371e+00,-6.999990463e+00,-4.999954700e+00,-1.570789099e+00,-4.529953003e-05,9.536743164e-06,7.231263226e-06,4.629251271e-05,7.231263226e-06
21,-7.000000000e+00,-4.000000000e+00,3.141592503e+00,-7.000007153e+00,-3.999931574e+00,-3.141590118e+00,7.152557373e-06,-6.818771362e-05,2.597911816e-06,6.856182154e-05,2.597911816e-06
22,-7.000000000e+00,-3.000000000e+00,-1.570796371e+00,-7.000033855e+00,-2.999955654e+00,-1.570787072e+00,-4.434585571e-05,-3.385543823e-05,9.246567060e-06,5.579198478e-05,9.246567060e-06
23,-7.000000000e+00,-2.000000000e+00,3.141592503e+00,-7.000011444e+00,-1.999957204e+00,-3.141585112e+00,1.144409180e-05,-4.291534424e-05,7.606552572e-06,4.441502097e-05,7.606552572e-06
24,-7.000000000e+00,-1.000000000e+00,-1.570796371e+00,-7.000023365e+00,-9.999943376e-01,-1.570786119e+00,-5.722045898e-06,-2.336502075e-05,1.029825216e-05,2.405547821e-05,1.029825216e-05
25,-7.000000000e+00,0.000000000e+00,3.141592503e+00,-7.000024796e+00,7.567312423e-05,-3.141587257e+00,2.479553223e-05,-7.567312423e-05,5.368300208e-06,7.963190001e-05,5.368300208e-06
26,-7.000000000e+00,1.000000000e+00,-1.570796371e+00,-7.000031471e+00,1.000109076e+00,-1.570793152e+00,-1.090168953e-04,-3.147125244e-05,3.274422170e-06,1.134686026e-04,3.274422170e-06
27,-7.000000000e+00,2.000000000e+00,3.141592503e+00,-7.000015259e+00,2.000104427e+00,3.141592264e+00,1.525878906e-05,-1.043081284e-04,-1.861572656e-07,1.054182940e-04,1.861572656e-07
28,-7.000000000e+00,3.000000000e+00,-1.570796371e+00,-7.000061512e+00,3.000067949e+00,-1.570793748e+00,-6.794929504e-05,-6.151199341e-05,2.651762316e-06,9.165605297e-05,2.651762316e-06
29,-7.000000000e+00,4.000000000e+00,3.141592503e+00,-7.000049591e+00,4.000045776e+00,-3.141587257e+00,4.959106445e-05,-4.601478577e-05,5.539756330e-06,6.765082799e-05,5.539756330e-06
30,-7.000000000e+00,5.000000000e+00,-1.570796371e+00,-7.000064373e+00,5.000047207e+00,-1.570794225e+00,-4.720687866e-05,-6.437301636e-05,2.175571126e-06,7.982715761e-05,2.175571126e-06
31,-7.000000000e+00,6.000000000e+00,3.141592503e+00,-7.000074387e+00,6.000035763e+00,-3.141581297e+00,7.438659668e-05,-3.576278687e-05,1.136334959e-05,8.253692067e-05,1.136334959e-05
32,-7.000000000e+00,7.000000000e+00,-1.570796371e+00,-7.000097275e+00,7.000069618e+00,-1.570789695e+00,-6.961822510e-05,-9.727478027e-05,6.647371720e-06,1.196205703e-04,6.647371720e-06
33,-7.000000000e+00,8.000000000e+00,3.141592503e+00,-7.000092983e+00,8.000049591e+00,-3.141584158e+00,9.298324585e-05,-4.911422729e-05,8.470304238e-06,1.051574582e-04,8.470304238e-06
34,-6.000000000e+00,-8.000000000e+00,0.000000000e+00,-6.000029087e+00,-7.999988079e+00,2.356825689e-06,-2.908706665e-05,1.192092896e-05,2.356825689e-06,3.143510912e-05,2.356825689e-06
35,-6.000000000e+00,-7.000000000e+00,1.570796371e+00,-5.999986172e+00,-6.999974728e+00,1.570801854e+00,2.527236938e-05,-1.382827759e-05,5.499826784e-06,2.880822649e-05,5.499826784e-06
36,-6.000000000e+00,-6.000000000e+00,0.000000000e+00,-6.000044346e+00,-6.000021458e+00,4.622043889e-06,-4.434585571e-05,-2.145767212e-05,4.622043889e-06,4.926445763e-05,4.622043889e-06
37,-6.000000000e+00,-5.000000000e+00,1.570796371e+00,-6.000001907e+00,-4.999963284e+00,1.570806980e+00,3.671646118e-05,1.907348633e-06,1.068877737e-05,3.676597044e-05,1.068877737e-05
38,-6.000000000e+00,-4.000000000e+00,0.000000000e+00,-6.000030518e+00,-4.000001431e+00,6.498166385e-06,-3.051757812e-05,-1.430511475e-06,6.498166385e-06,3.055108755e-05,6.498166385e-06
39,-6.000000000e+00,-3.000000000e+00,1.570796371e+00,-6.000051022e+00,-2.999902725e+00,1.570805073e+00,9.727478027e-05,5.102157593e-05,8.744345905e-06,1.098434514e-04,8.744345905e-06
40,-6.000000000e+00,-2.000000000e+00,0.000000000e+00,-6.000023842e+00,-1.999884844e+00,2.774722589e-06,-2.384185791e-05,1.151561737e-04,2.774722589e-06,1.175983780e-04,2.774722589e-06
41,-6.000000000e+00,-1.000000000e+00,1.570796371e+00,-5.999986649e+00,-9.999319315e-01,1.570800066e+00,6.806850433e-05,-1.335144043e-05,3.769058139e-06,6.936556747e-05,3.769058139e-06
42,-6.000000000e+00,0.000000000e+00,0.000000000e+00,-5.999999046e+00,9.075956041e-05,4.936354799e-06,9.536743164e-07,9.075956041e-05,4.936354799e-06,9.076457354e-05,4.936354799e-06
43,-6.000000000e+00,1.000000000e+00,1.570796371e+00,-6.000009060e+00,1.000067711e+00,1.570806742e+00,6.771087646e-05,9.059906006e-06,1.037643506e-05,6.831430801e-05,1.037643506e-05
44,-6.000000000e+00,2.000000000e+00,0.000000000e+00,-6.000018120e+00,2.000075340e+00,1.175812031e-06,-1.811981201e-05,7.534027100e-05,1.175812031e-06,7.748860662e-05,1.175812031e-06
45,-6.000000000e+00,3.000000000e+00,1.570796371e+00,-6.000076294e+00,3.000063181e+00,1.570796728e+00,6.318092346e-05,7.629394531e-05,4.162278060e-07,9.905854677e-05,4.162278060e-07
46,-6.000000000e+00,4.000000000e+00,0.000000000e+00,-6.000097275e+00,4.000056744e+00,5.890920420e-06,-9.727478027e-05,5.674362183e-05,5.890920420e-06,1.126153729e-04,5.890920420e-06
47,-6.000000000e+00,5.000000000e+00,1.570796371e+00,-6.000092983e+00,5.000044346e+00,1.570794821e+00,4.434585571e-05,9.298324585e-05,-1.513684538e-06,1.030166895e-04,1.513684538e-06
48,-6.000000000e+00,6.000000000e+00,0.000000000e+00,-6.000106812e+00,6.000113487e+00,6.377067621e-06,-1.068115234e-04,1.134872437e-04,6.377067621e-06,1.558462536e-04,6.377067621e-06
49,-6.000000000e+00,7.000000000e+00,1.570796371e+00,-6.000090599e+00,7.000077248e+00,1.570800662e+00,7.724761963e-05,9.059906006e-05,4.359092145e-06,1.190604235e-04,4.359092145e-06
50,-6.000000000e+00,8.000000000e+00,0.000000000e+00,-6.000076294e+00,8.000049591e+00,1.282199719e-06,-7.629394531e-05,4.959106445e-05,1.282199719e-06,9.099472663e-05,1.282199719e-06
51,-5.000000000e+00,-8.000000000e+00,3.141592503e+00,-5.000033855e+00,-7.999988079e+00,3.141589403e+00,3.385543823e-05,-1.144409180e-05,-3.168271633e-06,3.573734648e-05,3.168271633e-06
52,-5.000000000e+00,-7.000000000e+00,-1.570796371e+00,-4.999978542e+00,-6.999952793e+00,-1.570795536e+00,-4.720687866e-05,2.145767212e-05,8.929410455e-07,5.185480768e-05,8.929410455e-07
53,-5.000000000e+00,-6.000000000e+00,3.141592503e+00,-4.999996662e+00,-5.999957561e+00,3.141589880e+00,-3.337860107e-06,-4.243850708e-05,-2.597763114e-06,4.256956890e-05,2.597763114e-06
54,-5.000000000e+00,-5.000000000e+00,-1.570796371e+00,-4.999992371e+00,-4.999953747e+00,-1.570792317e+00,-4.625320435e-05,7.629394531e-06,4.033886853e-06,4.687820910e-05,4.033886853e-06
55,-5.000000000e+00,-4.000000000e+00,3.141592503e+00,-5.000028610e+00,-3.999942303e+00,-3.141589880e+00,2.861022949e-05,-5.769729614e-05,2.926252819e-06,6.440126890e-05,2.926252819e-06
56,-5.000000000e+00,-3.000000000e+00,-1.570796371e+00,-5.000003815e+00,-2.999886274e+00,-1.570792198e+00,-1.137256622e-04,-3.814697266e-06,4.227084446e-06,1.137896252e-04,4.227084446e-06
57,-5.000000000e+00,-2.000000000e+00,3.141592503e+00,-5.000009537e+00,-1.999859214e+00,-3.141590118e+00,9.536743164e-06,-1.407861710e-04,2.679338650e-06,1.411088015e-04,2.679338650e-06
58,-5.000000000e+00,-1.000000000e+00,-1.570796371e+00,-5.000001907e+00,-9.999274015e-01,-1.570791602e+00,-7.259845734e-05,-1.907348633e-06,4.751240340e-06,7.262350846e-05,4.751240340e-06
59,-5.000000000e+00,0.000000000e+00,3.141592503e+00,-4.999988079e+00,8.733481081e-05,-3.141585588e+00,-1.192092896e-05,-8.733481081e-05,7.107667898e-06,8.814463945e-05,7.107667898e-06
60,-5.000000000e+00,1.000000000e+00,-1.570796371e+00,-5.000012398e+00,1.000064611e+00,-1.570789099e+00,-6.461143494e-05,-1.239776611e-05,7.319952601e-06,6.579014007e-05,7.319952601e-06
61,-5.000000000e+00,2.000000000e+00,3.141592503e+00,-5.000015736e+00,2.000041246e+00,-3.141584158e+00,1.573562622e-05,-4.124641418e-05,8.489664651e-06,4.414608338e-05,8.489664651e-06
62,-5.000000000e+00,3.000000000e+00,-1.570796371e+00,-5.000076294e+00,3.000072241e+00,-1.570787072e+00,-7.224082947e-05,-7.629394531e-05,9.292156392e-06,1.050690407e-04,9.292156392e-06
63,-5.000000000e+00,4.000000000e+00,3.141592503e+00,-5.000094891e+00,4.000018597e+00,-3.141584873e+00,9.489059448e-05,-1.859664917e-05,7.848878340e-06,9.669570863e-05,7.848878340e-06
64,-5.000000000e+00,5.000000000e+00,-1.570796371e+00,-5.000091076e+00,5.000009537e+00,-1.570785880e+00,-9.536743164e-06,-9.107589722e-05,1.046010948e-05,9.157384193e-05,1.046010948e-05
65,-5.000000000e+00,6.000000000e+00,3.141592503e+00,-5.000050545e+00,6.000070572e+00,-3.141583920e+00,5.054473877e-05,-7.057189941e-05,8.809469364e-06,8.680531755e-05,8.809469364e-06
66,-5.000000000e+00,7.000000000e+00,-1.570796371e+00,-5.000087261e+00,7.000073910e+00,-1.570792913e+00,-7.390975952e-05,-8.726119995e-05,3.483454066e-06,1.143554546e-04,3.483454066e-06
67,-5.000000000e+00,8.000000000e+00,3.141592503e+00,-5.000127316e+00,8.000037193e+00,-3.141583920e+00,1.273155212e-04,-3.767013550e-05,8.774848538e-06,1.327715436e-04,8.774848538e-06
68,-4.000000000e+00,-8.000000000e+00,0.000000000e+00,-4.000004292e+00,-7.999973774e+00,-1.480689662e-06,-4.291534424e-06,2.622604370e-05,-1.480689662e-06,2.657484947e-05,1.480689662e-06
69,-4.000000000e+00,-7.000000000e+00,1.570796371e+00,-3.999958515e+00,-6.999956131e+00,1.570802569e+00,4.386901855e-05,-4.172325134e-05,6.214476343e-06,6.054188998e-05,6.214476343e-06
70,-4.000000000e+00,-6.000000000e+00,0.000000000e+00,-4.000029564e+00,-5.999970913e+00,3.570652325e-06,-2.956390381e-05,2.908706665e-05,3.570652325e-06,4.147386790e-05,3.570652325e-06
