Dataset,Sequence,Mode,N_obs_standard,N_obs_dyn-rmv,delta_N_obs,tau=0.05_standard_m_peak(%),tau=0.05_standard_m_mid(%),tau=0.05_dyn-rmv_m_peak(%),tau=0.05_dyn-rmv_m_mid(%),tau=0.10_standard_m_peak(%),tau=0.10_standard_m_mid(%),tau=0.10_dyn-rmv_m_peak(%),tau=0.10_dyn-rmv_m_mid(%)
IILABS 3D,Nav A Diff,scan,225571,225091,-480,95.21,4.79,96.19,3.81,96.26,3.74,96.74,3.26
IILABS 3D,Nav A Diff,local,238282,238015,-267,92.91,7.09,94.17,5.83,94.70,5.30,95.25,4.75
IILABS 3D,Nav A Omni,scan,211680,211027,-653,96.30,3.70,96.99,3.01,96.84,3.16,97.26,2.74
IILABS 3D,Nav A Omni,local,232092,231639,-453,93.21,6.79,94.43,5.57,94.69,5.31,95.27,4.73
IILABS 3D,Loop,scan,324553,324249,-304,96.25,3.75,96.90,3.10,96.95,3.05,97.28,2.72
IILABS 3D,Loop,local,355885,355165,-720,94.72,5.28,95.52,4.48,95.87,4.13,96.25,3.75
IILABS 3D,Slippage,scan,177664,177476,-188,98.38,1.62,98.64,1.36,98.48,1.52,98.68,1.32
IILABS 3D,Slippage,local,196312,196097,-215,96.27,3.73,96.98,3.02,97.08,2.92,97.42,2.58
avantgarde,run0,scan,6944503,6885705,-58798,98.90,1.10,99.02,0.98,98.98,1.02,99.06,0.94
avantgarde,run1,scan,1961496,1925419,-36077,98.99,1.01,99.07,0.93,99.08,0.92,99.14,0.86
avantgarde,run2,scan,1868482,1846486,-21996,98.81,1.19,98.94,1.06,98.91,1.09,99.01,0.99
avantgarde,run3,scan,1753355,1733622,-19733,98.86,1.14,98.96,1.04,98.94,1.06,99.01,0.99
avantgarde,run4,scan,1880880,1862146,-18734,98.71,1.29,98.83,1.17,98.82,1.18,98.91,1.09
avantgarde,run5,scan,1965889,1948151,-17738,98.49,1.51,98.67,1.33,98.66,1.34,98.79,1.21
avantgarde,run6,scan,1645006,1627833,-17173,98.68,1.32,98.80,1.20,98.81,1.19,98.90,1.10
cappero,,scan,842204,840532,-1672,94.13,5.87,94.61,5.39,95.24,4.76,95.48,4.52
cappero,,local,853734,852711,-1023,93.67,6.33,94.17,5.83,94.90,5.10,95.17,4.83
flowbotic,20251024,local,3815218,3769513,-45705,96.81,3.19,97.52,2.48,97.45,2.55,97.87,2.13
flowbotic,20251027,local,3116225,3071177,-45048,97.01,2.99,97.68,2.32,97.57,2.43,97.97,2.03
flowbotic,20251028,local,3214031,3166414,-47617,96.98,3.02,97.59,2.41,97.64,2.36,98.02,1.98
kuka,,local,11281724,11169607,-112117,96.28,3.72,97.06,2.94,96.95,3.05,97.42,2.58
